StationID,model_slope,model_MAD,model_pval,variable
2-JKS044.60,-1.4977440418081325e-4,3.9625628642247574e-4,0.45595252415264415,DOMax
2-JKS046.40,-7.643866795071369e-6,4.0495664005902633e-4,0.7834898474517643,DOMax
2-JKS048.90,-3.0924450654636027e-4,2.589675171861208e-4,0.1951949290946719,DOMax
2-JKS053.48,4.3729023244585717e-4,4.0323844701226443e-4,0.04199218749999999,DOMax
2-XDD000.40,0.002535385356822909,0.0022116417823184074,0.09751253817810959,DOMax
4ABSA000.62,1.5416428263811288e-4,4.7336291917074674e-4,0.03212321043460454,DOMax
4ABWR002.50,3.515275613964747e-4,6.769727847965083e-4,0.012727260589599608,DOMax
4ABWR010.55,3.2042452359049164e-4,3.104807766847732e-4,0.019403811890122476,DOMax
4ABWR017.42,7.348807130685553e-4,0.0010855160998555012,0.001858711242675781,DOMax
4ACCK001.80,7.041654582743992e-4,3.2886872466971037e-4,9.76365491304881e-5,DOMax
4ACOA000.60,7.253965989555927e-4,9.549528870864625e-4,9.2726125479103e-4,DOMax
4AGIL002.39,-3.8944434780505577e-4,9.199758523228535e-4,0.5372817940702581,DOMax
4AROA018.36,-3.096945504962986e-4,1.929980214382889e-4,0.08300781249999999,DOMax
4AROA038.49,7.023940331730815e-4,0.001406583845317884,0.03222656249999999,DOMax
4AROA140.66,0.0013283841163732933,6.859041873006123e-4,6.103515625000003e-5,DOMax
4AROA145.34,6.958953714481094e-4,4.5542296952594117e-4,0.002624511718750001,DOMax
4AROA158.22,1.871443937923083e-5,7.443341276078205e-4,0.34638316668774227,DOMax
4AROA163.76,2.0992748142931048e-4,4.262354703393073e-4,0.013604046972842688,DOMax
4AROA167.34,7.46618066612158e-4,6.663727158659612e-4,4.0130789515070166e-4,DOMax
4AROA175.63,1.3056422492093174e-4,0.0013318257212248709,0.5399188995361327,DOMax
4AROA180.21,-2.895842223830288e-4,7.760850433339737e-4,0.18750131130218536,DOMax
4AROA183.64,-4.0402461645221694e-5,8.991997100693103e-4,0.9886014552848512,DOMax
4AROA192.55,-0.004602297814435821,0.0035015807567253796,0.19746607335801866,DOMax
4AROA192.94,-7.463024792794507e-4,0.0014241870498049648,0.026801364483867236,DOMax
4AROA196.05,6.948320281109145e-4,5.405014896263081e-4,0.03191947937011718,DOMax
4ASRE046.90,6.688399770760371e-4,1.589848014098455e-4,0.1909179687500001,DOMax
4ASRE048.98,-1.1375544205686655e-4,9.83971588706638e-4,0.7868652343750002,DOMax
4ASRE052.31,3.038584712606054e-4,5.461016693325535e-4,0.30774889830236934,DOMax
4ASRE056.06,2.4742478109662276e-4,2.6264906917512103e-4,0.4548339843750002,DOMax
4AWTH000.40,2.3013334245375994e-4,5.773100889850609e-4,0.027237258218736855,DOMax
5ASRN000.66,-1.6696063379948714e-4,0.002038212176686351,0.42578125,DOMax
8-NAR047.69,-9.453586715364094e-4,3.787852925813833e-4,1.5258789062500005e-4,DOMax
8-NAR054.17,-5.623596703439714e-4,6.695292576637254e-4,0.0010939399472879988,DOMax
9-NEW087.14,7.425361553383065e-4,8.045330138802699e-4,0.0011184215545654295,DOMax
9-NEW089.34,9.71049396750321e-4,3.339570747509375e-4,2.3841857910156245e-7,DOMax
9-NEW092.66,6.49605455964222e-4,6.242365477909828e-4,1.0251998901367186e-5,DOMax
9-NEW098.32,7.001262108171636e-4,6.22213668876189e-4,6.556510925292966e-6,DOMax
9-PKC000.00,7.989343488715837e-4,3.5414926393937773e-4,3.337860107421874e-6,DOMax
9-PKC004.16,5.9868603708712406e-5,7.856654508906466e-4,0.7997725009918212,DOMax
