StationID,model_slope,model_MAD,model_pval,variable
2-JKS044.60,2.4156184914987967e-4,0.0016654714803610525,0.5561465266861163,TMin
2-JKS046.40,9.212531746872318e-4,0.0013357383376401356,0.5561465266861163,TMin
2-JKS048.90,-1.5425504432296013e-4,0.0014530543188137962,0.8444601962923157,TMin
4ABSA000.62,1.4799371910619128e-5,3.366516745255946e-4,0.626246398954694,TMin
4ABWR002.50,2.6940240842602387e-4,7.430149150789733e-4,0.054245471954345696,TMin
4ABWR010.55,-1.6395353541504704e-4,8.193711445871042e-4,0.1531242027964692,TMin
4ABWR017.42,-5.857298811772936e-4,0.0012204555105256249,0.02633094787597656,TMin
4ACCK001.80,1.0947358935291251e-4,7.901950535699311e-4,0.8229274749755858,TMin
4ACOA000.60,-3.666049689408225e-4,8.856611473033731e-4,0.18310114987539414,TMin
4AGIL002.39,-1.6856182703126068e-6,7.161842927548971e-4,0.8237285614013671,TMin
4AROA018.36,3.3698998903508354e-4,0.0032279298915043443,0.6376953124999999,TMin
4AROA038.49,-0.001934975656147981,9.533396271881085e-4,0.013671874999999998,TMin
4AROA140.66,2.8874809553781916e-4,4.093129435921641e-4,0.025573730468750007,TMin
4AROA145.34,1.4910450994278825e-4,3.746966284698992e-4,0.030151367187500007,TMin
4AROA158.22,-9.022341095063182e-5,3.5590098150515014e-4,0.24674916267395017,TMin
4AROA163.76,1.012842055909316e-4,7.41253358040738e-4,0.846231698989868,TMin
4AROA167.34,2.1106822632046402e-4,3.692564536666382e-4,0.11142587661743163,TMin
4AROA175.63,9.156399194548692e-6,3.6001907974692634e-4,0.6433901786804198,TMin
4AROA180.21,-9.587657526832179e-5,2.9308954423127567e-4,0.31039706197958966,TMin
4AROA183.64,-1.2353354409525293e-4,5.35023754808827e-4,0.46624111426824066,TMin
4AROA192.94,-8.909487360479247e-5,0.001700709609496041,0.6839864253997807,TMin
4ASRE046.90,0.00233814953608172,5.160400145700268e-4,2.4414062500000016e-4,TMin
4ASRE048.98,0.0018073281765837066,6.607828620946736e-4,2.4414062500000016e-4,TMin
4ASRE052.31,6.582846811927771e-5,0.0011427353067276977,0.4749585398895067,TMin
4ASRE056.06,7.232534596899203e-4,7.949544832728764e-4,0.047851562500000035,TMin
4AWTH000.40,2.8750118925796597e-4,6.741003363027935e-4,0.5202305316925048,TMin
8-NAR047.69,3.1565226734224896e-4,0.002094149491521091,0.8899688720703126,TMin
8-NAR054.17,1.836261700665008e-5,0.005151219917162428,0.571987011115615,TMin
9-NEW087.14,2.584089423799675e-4,2.890777293016953e-4,0.12621283531188962,TMin
9-NEW089.34,-1.2565541563191556e-4,7.065301324507018e-4,0.6010458469390868,TMin
9-NEW092.66,-1.1539884943732835e-6,0.0011206055531007401,0.8229274749755858,TMin
9-NEW098.32,-9.995720236830523e-4,0.0011102730891299215,0.008822321891784666,TMin
9-PKC000.00,-0.0017668707742930407,0.0028714155800277784,0.021372318267822262,TMin
9-PKC004.16,0.002270946592262509,0.0018803554186110774,0.004851341247558593,TMin
