StationID,model_slope,model_MAD,model_pval,variable
2-JKS044.60,0.001684914744597683,0.002250915628994951,0.03755938725628819,TRange
2-JKS046.40,0.001078570868015994,0.0022064234656372405,0.14655224568852065,TRange
2-JKS048.90,0.0020565240040663645,0.0023746841936753494,0.3803710937500002,TRange
4ABSA000.62,0.0025038457466156714,0.001739008414106333,0.002504825592041015,TRange
4ABWR002.50,0.0019730582580931083,0.002321734490650611,0.0441143213285708,TRange
4ABWR010.55,0.002547974337838749,0.002139190822631389,0.002851486206054687,TRange
4ABWR017.42,0.0032589571296061572,0.001803825994865496,9.536743164062498e-6,TRange
4ACCK001.80,0.001054985593832119,8.493301176718191e-4,0.006032705307006835,TRange
4ACOA000.60,0.0017956486577582146,0.0018639596964980666,0.0038569152582468755,TRange
4AGIL002.39,0.0028502611236406817,0.001210729589265234,9.412765502929686e-4,TRange
4AROA018.36,0.0013431826620566268,0.002379175510442804,0.17480468749999997,TRange
4AROA038.49,0.0018321786539603263,0.001306406185370593,9.765624999999999e-4,TRange
4AROA140.66,6.859743292362684e-4,0.0025973481400724543,0.18762207031250003,TRange
4AROA145.34,-1.0167849020439919e-4,0.0013927149863026819,0.33026123046875006,TRange
4AROA158.22,0.001630355660576204,0.0012810515860173797,7.376670837402343e-4,TRange
4AROA163.76,0.0014735294402176756,0.001570172241382141,0.001659870147705078,TRange
4AROA167.34,0.001299636394363956,0.0012177510315972578,0.006032705307006835,TRange
4AROA175.63,0.001357889547644201,0.0010909248476221876,0.05625271797180175,TRange
4AROA180.21,0.001750163002740253,0.0012154291241622448,0.0164066553115845,TRange
4AROA183.64,0.0011557230019612064,0.0015793279936446383,0.026801364483867236,TRange
4AROA192.94,2.1633741570247194e-4,5.046862426121316e-4,0.15725685130357636,TRange
4ASRE046.90,-0.003691581731351198,5.362511944647051e-4,2.4414062500000016e-4,TRange
4ASRE048.98,-0.003753067356991036,0.0019523879708571747,2.4414062500000016e-4,TRange
4ASRE052.31,-7.279895505277219e-4,0.002468385340724207,0.5405548641319784,TRange
4ASRE056.06,-0.004307443955884557,0.002675136115994421,0.0046386718750000035,TRange
4AWTH000.40,0.0015153487215316954,7.493813114267576e-4,4.75168228149414e-4,TRange
8-NAR047.69,-4.936331058786976e-4,0.0016773643381634766,0.6777038574218751,TRange
8-NAR054.17,-0.0013351384411350283,0.002597423846647563,0.049438476562500014,TRange
9-NEW087.14,0.002040691343360288,0.0029167504998803065,0.027674198150634762,TRange
9-NEW089.34,0.0010378309533294059,0.0017029260206494195,0.008262157440185545,TRange
9-NEW092.66,0.0017599280899850177,0.0027864495971096715,0.016311168670654293,TRange
9-NEW098.32,0.0010325952238223939,7.202843653810188e-4,1.5079975128173823e-5,TRange
9-PKC000.00,0.0037286487586434577,0.00164831553934079,0.0012786388397216795,TRange
9-PKC004.16,-1.3640831572221917e-4,2.1884799645830662e-4,0.021389357766787936,TRange
