StationID,model_slope,model_MAD,model_pval,model_intcpt,variable
4AROA145.34,2.5795218734327315e-4,5.815991813634814e-4,0.6697998046875001,-0.45270127556192513,DORange
4AROA158.22,-1.0526566655233518e-4,0.0013081180329002926,0.585402488708496,0.250310514810692,DORange
4AROA163.76,-2.2169373687685006e-4,9.913574966158587e-4,0.6788630485534667,0.48732052809624704,DORange
4AROA167.34,-8.11753189097148e-4,8.782973322849722e-4,0.04599285125732421,1.688912535133349,DORange
4AROA175.63,0.0015268887003015927,0.001259290360144762,0.0230415366220115,-3.0098170550901466,DORange
4AROA180.21,-3.5970645984853214e-4,0.0012205062725193483,0.03289413452148437,0.7475300896658288,DORange
4AROA183.64,-8.484933144458087e-4,0.0015452432072872006,0.01895666122436523,1.7429790002641248,DORange
4AROA192.94,-8.446140311392809e-4,0.0014899014861861639,0.11105823516845702,1.7216447301729803,DORange
4ASRE046.90,0.0021921200753956564,0.0024522249683968365,0.06515383596058258,-4.351670515677543,DORange
4ASRE048.98,-4.780765298214908e-4,0.0027377110806979213,0.6660165023369173,0.9957354782486618,DORange
4ASRE052.31,0.0010336435576312152,0.002470027505384823,0.18485825379822088,-2.0318103142743524,DORange
4ASRE056.06,0.0018279497888373372,5.248042778422897e-4,0.25515751134134057,-3.6481659551234857,DORange
4AWTH000.40,2.3554338652213846e-4,3.8488649148853637e-4,0.5167608261108397,-0.4379308299328258,DORange
8-NAR047.69,3.319334540551016e-4,0.0034466126412666157,0.42120361328125006,-0.6616057296143606,DORange
8-NAR054.17,-0.0026834537097942513,0.001346369774653569,0.08293108208496205,5.410467078492575,DORange
9-NEW087.14,-0.001092702033480335,0.0020686291165759796,0.6220676898956298,2.223119112038633,DORange
9-NEW089.34,-6.62503045629902e-4,9.053717550413369e-4,0.21117830276489255,1.3433064453846046,DORange
9-NEW092.66,-0.0010777054198895587,0.0023868971188942176,0.0977065337971215,2.1669088801009684,DORange
9-NEW098.32,-5.346743960224604e-5,7.136513390541344e-4,0.6729657066036834,0.12055312927647635,DORange
9-PKC000.00,-4.933036141781315e-4,0.002105794321062158,0.3554162979125976,1.0014308486670207,DORange
9-PKC004.16,0,4.790031156868167e-4,0.14221324193639254,0,DORange
2-JKS044.60,9.457271032182364e-4,0.002273947236400218,0.07744208512638945,-1.8486360752479665,TMax
2-JKS046.40,7.580685188899841e-4,0.0021700428525233645,0.16948199001218978,-1.4688494322644015,TMax
2-JKS048.90,0.0021335568886491777,0.0032397787229625397,0.04537575323608079,-4.240102925533897,TMax
2-JKS053.48,0.001634585526986975,0.002533936173417359,0.08300781249999999,-3.2344477306871227,TMax
2-XDD000.40,-6.211495987631759e-5,0.002030641177242403,0.8334336202223243,0.1819395248623861,TMax
4ABSA000.62,4.718084826538377e-5,0.0030134920749713156,0.3204574584960937,-0.040379301539120144,TMax
4ABWR002.50,0.0010015365028431162,0.002129215277889544,0.13050719304432123,-1.945134529117439,TMax
4ABWR010.55,-2.832579615459352e-4,0.0021817895439125755,0.8960138167063328,0.6260131796897402,TMax
4ABWR017.42,0.0010669763414555172,0.0018724403333894785,0.10435177739142468,-2.1020965141741503,TMax
4ACCK001.80,-1.190834077134858e-4,0.0017006666828114998,0.9999999999999999,0.31443188167509906,TMax
4ACOA000.60,-8.594934618888966e-4,0.0024922438621258385,0.8116779327392577,1.7845391255237772,TMax
4AGIL002.39,0.0014404873400735412,0.003106012275486168,0.08879852294921874,-2.8405697518823896,TMax
4AROA018.36,0.001381473527593608,9.688019958887372e-4,0.10156249999999999,-2.702165002555515,TMax
4AROA038.49,-4.549472430593907e-4,0.002634612930833521,0.5195312499999999,0.9899098739035509,TMax
4AROA140.66,-2.256947154666006e-4,0.0018784703349536613,0.7197265625000001,0.5537168352357321,TMax
4AROA145.34,-7.419995439832407e-5,0.0018710548968237405,0.6154314715052189,0.22702998148420117,TMax
