Year,StationID,TMin,TMean,TRange,DOMin,DOMean,DORange,TMax,DOMax
1999,2-JKS044.60,0.022176652150014787,0.04067151494651391,0.017707496511775396,-0.036307132890786846,-0.01889750961904364,0.029922624836159116,0.039884148661790145,-0.0063845080546276745
2001,2-JKS044.60,0.02050015878056527,0.03941838678945703,0.06691648142267387,-0.09073039060019056,-0.039697999364877855,0.1016878374087012,0.08741664020323912,0.010957446808510648
2002,2-JKS044.60,0.02549280220863734,0.027533425359889577,0.05915756261092488,-0.08719029777164267,-0.045642437389075134,0.07238887793334649,0.08465036481956224,-0.014801419838296203
2004,2-JKS044.60,0.07276935430541782,0.08181276274148601,-0.050115724339898936,-0.0730999952765575,-0.05949643380095413,0.047933493930376464,0.02265362996551892,-0.0251665013461812
2007,2-JKS044.60,0.01410363351239532,0.04695522338260321,0.06673784658503217,-0.05675486303426645,-0.03299649661339297,0.049791465082913496,0.08084148009742753,-0.006963397951352967
2009,2-JKS044.60,0.05346090459622779,0.05353763047060972,0.0048617469327961555,-0.062131477751327664,-0.0472266068485626,0.048763962644204344,0.05832265152902392,-0.013367515107123406
2013,2-JKS044.60,0.058142790480634615,0.06534601026598227,-0.011035930937937503,-0.06726551563229119,-0.04955342977134857,0.051656556229584684,0.04710685954269716,-0.015608959402706492
2014,2-JKS044.60,0.036759276352224514,0.05758805611962342,0.03771091009784017,-0.0865931327302935,-0.05642929665866722,0.06787059257891821,0.07447018645006465,-0.018722540151375353
2017,2-JKS044.60,0.0629351136097447,0.05637210119465919,-0.013058093230264715,-0.07559615835090187,-0.055854415553993814,0.06169126259077068,0.04987702037947999,-0.013904895760131182
2018,2-JKS044.60,0.02948157148643175,0.07225617658971245,0.06154313487241804,-0.08238153098420417,-0.04455305791818556,0.09798096395301742,0.09102470635884981,0.015599432968813323
2021,2-JKS044.60,0.014202865973588058,0.05488687833661136,0.09558078111829169,-0.05267715650463611,-0.04276735037932009,0.05350379320033712,0.10978364709187965,8.266366957010219e-4
2022,2-JKS044.60,0.01343506523442904,0.04821031764326217,0.060473468258724815,-0.06954036236227003,-0.04707620672168171,0.052567885298049906,0.07390853349315386,-0.01697247706422022
1999,2-JKS046.40,0.02154665764661113,0.04364018434738489,0.022062492072216836,-0.053198596253858116,-0.024219525601454517,0.04741448564542726,0.04360914971882797,-0.005784110608430913
2001,2-JKS046.40,0.006748174023499498,0.024718482057796105,0.07822324547475384,-0.09372022864401397,-0.04525658939345827,0.09695776436964115,0.08497141949825354,0.0032375357256271935
2002,2-JKS046.40,0.032758035890356925,0.04880895286925657,0.05135633997239197,-0.08145848944981265,-0.038331413922303284,0.06529718004338392,0.08411437586274896,-0.01616130940642871
2004,2-JKS046.40,0.07084218978791745,0.073875206650607,-0.04377214113646031,-0.06843795758348675,-0.05997794152378256,0.04252515233101884,0.027070048651457183,-0.02591280525246802
2007,2-JKS046.40,0.01262887457875947,0.05061566180641288,0.07105869006706482,-0.0738046778552601,-0.046343732274532055,0.04708217944012545,0.08368756464582432,-0.026722498415134653
2009,2-JKS046.40,0.05115363486540928,0.05282219373741069,0.006692913385826707,-0.0827321003479217,-0.052736495147409065,0.05870719648416041,0.05784654825123599,-0.02402490386376137
2013,2-JKS046.40,0.059496033597760185,0.06685394307046198,-0.006416238917405506,-0.0871908539430705,-0.051865375641623766,0.0710219318712086,0.053079794680354626,-0.01616892207186198
2014,2-JKS046.40,0.04782167251246074,0.07766752815211368,0.02537382314934469,-0.08804227432158022,-0.05567020491046707,0.062335240908251814,0.07319549566180543,-0.025707033413328452
2017,2-JKS046.40,0.07024244553759665,0.07093851018974003,-0.022651674865308044,-0.07306863434059496,-0.052014874677910446,0.05129655657062545,0.04759077067228864,-0.021772077769969585
2018,2-JKS046.40,0.041737545565006084,0.0735210611583637,0.04323410287565815,-0.08316119886593763,-0.05488497367355203,0.08580194410692593,0.08497164844066427,0.002640745240988247
2021,2-JKS046.40,0.020837313852205688,0.06749519527957291,0.08884068558583869,-0.0828013486934531,-0.04748300084293337,0.06973644282101711,0.10967799943804432,-0.013064905872436066
2022,2-JKS046.40,0.022965285141302846,0.05907224194366327,0.04579687427965517,-0.0693508828546402,-0.04693808492001295,0.04883914987782954,0.06876215942095797,-0.020511732976810703
1999,2-JKS048.90,0.03191408397107943,0.03371527630966977,-0.027271574140628283,-0.08279142530971198,-0.05649114202359299,0.05254323284427716,0.004642509830451143,-0.0302481924654349
2001,2-JKS048.90,-0.10933063987770264,-0.014583315134308923,0.19486241537453602,-0.10576435903035611,-0.061107447040838765,0.1171653199388514,0.0855317754968334,0.011400960908495265
2002,2-JKS048.90,0.008107734806629789,0.05590676795580109,0.08696132596685083,-0.08053867403314922,-0.05099861878453042,0.06703729281767956,0.09506906077348057,-0.013501381215469664
2004,2-JKS048.90,0.06358698219262202,0.0499977327476265,-0.03534079637239624,-0.08546124415474003,-0.058988427566010124,0.06292570025034258,0.028246185820225832,-0.02253554390439755
2007,2-JKS048.90,0.053855393547095516,0.08961392679590267,0.030909879550231903,-0.07299971991410703,-0.049498366165624245,0.058159835682942695,0.08476527309732744,-0.01483988423116435
2009,2-JKS048.90,0.04526643471891592,0.06026780809375569,0.0016022706464017193,-0.0758102911554661,-0.06279344442409833,0.04837026185680282,0.0468687053653176,-0.02744002929866329
2013,2-JKS048.90,0.061712552496500234,0.062393840410639334,-0.007419505366308896,-0.08385440970601961,-0.05655412972468493,0.06677554829678031,0.05429304713019132,-0.017078861409239334
2014,2-JKS048.90,0.06500369208048733,0.08701015322134023,0.012063872992431274,-0.09548089348347791,-0.06580801181465763,0.07057319549566178,0.07706756507291856,-0.024907697987816106
2017,2-JKS048.90,0.06862379948465687,0.07065132349496372,-0.017587256968845166,-0.04821503865073789,-0.06367521667837901,0.033681189974232854,0.051036542515811655,-0.014533848676505
2018,2-JKS048.90,0.04321992709599031,0.07716464155528557,0.054876468205751344,-0.08938841636289999,-0.06473086269744839,0.08652490886998779,0.09809639530174162,-0.0028635074929121928
