FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month
4AROA167.34,5,20.8404,15.6,25.25,25,May
4AROA167.34,6,25.748,21.1,28.87,35,June
4AROA167.34,7,28.231304347826086,26.5,29.71,23,July
4AROA167.34,8,27.688709677419354,24.53,30.3,31,August
4AROA167.34,9,24.6932,21.2,29.5,25,September
4AROA167.34,10,19.339615384615385,15.7,21.8,26,October
4AROA175.63,5,20.836666666666666,16,26.05,27,May
4AROA175.63,6,25.37468085106383,9.7,28.7,47,June
4AROA175.63,7,28.286666666666665,25,31.55,33,July
4AROA175.63,8,28.157659574468084,23.89,30.8,47,August
4AROA175.63,9,25.65851851851852,22.2,29.9,27,September
4AROA175.63,10,19.975405405405404,15.56,24.13,37,October
4AROA180.21,5,21.21608695652174,17.3,25.48,23,May
4AROA180.21,6,25.699166666666667,16.2,28.6,36,June
4AROA180.21,7,28.8096,26.9,31.42,25,July
4AROA180.21,8,28.28794117647059,16.5,31.2,34,August
4AROA180.21,9,25.890869565217393,22.4,30.17,23,September
4AROA180.21,10,20.173000000000002,17,23.92,30,October
4AROA183.64,5,20.854166666666668,16,25.42,24,May
4AROA183.64,6,25.526923076923076,12.5,29.1,39,June
4AROA183.64,7,28.7316,26.6,31.3,25,July
4AROA183.64,8,28.043243243243243,16.8,31,37,August
4AROA183.64,9,25.71782608695652,22.4,29.74,23,September
4AROA183.64,10,19.85969696969697,17,23.13,33,October
4AROA192.55,5,20.741935483870968,16.7,27.7,31,May
4AROA192.55,6,25.176285714285715,19.3,31,35,June
4AROA192.55,7,27.633235294117647,25,31,34,July
4AROA192.55,8,27.179444444444446,22.22,30,36,August
4AROA192.55,9,23.26705882352941,17.9,27.1,34,September
4AROA192.55,10,16.66709677419355,11.3,20.56,31,October
4AROA192.94,5,18.740833333333335,13,22.99,24,May
4AROA192.94,6,23.940277777777776,17.1,27.5,36,June
4AROA192.94,7,26.6,20.9,29.3,25,July
4AROA192.94,8,26.565714285714286,21.4,29.1,35,August
4AROA192.94,9,23.57608695652174,18.7,27.27,23,September
4AROA192.94,10,16.87151515151515,11.19,21.04,33,October
4AROA196.05,5,18.092916666666667,11.9,22.1,24,May
4AROA196.05,6,22.21309523809524,16.9,26.2,42,June
4AROA196.05,7,25.081481481481482,20.2,31.11,27,July
4AROA196.05,8,24.649302325581395,20.01,28.1,43,August
4AROA196.05,9,22.3936,17.7,26.67,25,September
4AROA196.05,10,15.773428571428571,11.02,19.2,35,October
4ASRE046.90,5,21.546842105263156,13.8,26.5,19,May
4ASRE046.90,6,25.32217391304348,20,27.8,23,June
4ASRE046.90,7,27.82,25,30.1,27,July
4ASRE046.90,8,27.753333333333334,24.5,30.04,30,August
4ASRE046.90,9,25.73111111111111,21.11,28.2,18,September
4ASRE046.90,10,20.586,17.7,24.64,20,October
4ASRE048.98,5,21.746666666666666,14.1,26.8,18,May
4ASRE048.98,6,25.779375,24.3,28.4,16,June
4ASRE048.98,7,28.642777777777777,26.3,30.6,18,July
4ASRE048.98,8,28.41764705882353,25.1,30.11,17,August
4ASRE048.98,9,26.405384615384616,23.5,28,13,September
4ASRE048.98,10,20.69529411764706,17.7,24.72,17,October
4ASRE052.31,5,22.25941176470588,15.5,27.3,17,May
4ASRE052.31,6,25.866,24.2,28.3,15,June
4ASRE052.31,7,28.76125,26.8,30.8,16,July
4ASRE052.31,8,28.211875,25.8,30.41,16,August
4ASRE052.31,9,26.293,23.6,28.05,10,September
4ASRE052.31,10,20.668,18.2,24.92,15,October
4ASRE056.06,5,21.909583333333334,16.2,27.6,24,May
4ASRE056.06,6,26.27277777777778,24.4,28.8,18,June
4ASRE056.06,7,28.7615,22,30.8,20,July
4ASRE056.06,8,28.308260869565217,24.4,30.8,23,August
4ASRE056.06,9,26.439333333333334,23.6,28.55,15,September
