ftype,fcode,hydrographic_status,permanent_identifier,gnis_name,gnis_id,fdate,elevation,reachcode,county,area_ha,area_km2
390 (Lake/Pond),39004,Perennial,{9A83C41A-3BCB-4175-9B80-3613B64834B9},NA,NA,2012-07-25T00:00:00Z,NA,02080206016771,Henrico,3.03,0.03
390 (Lake/Pond),39004,Perennial,135653421,NA,NA,2005-05-17T11:00:33Z,NA,02080206015382,Chesterfield,3.01,0.03
390 (Lake/Pond),39004,Perennial,61495573,NA,NA,2002-11-15T00:00:00Z,NA,02080207002454,Chesterfield,3.01,0.03
390 (Lake/Pond),39009,Perennial; Average Water Elevation,61496721,NA,NA,2002-11-15T00:00:00Z,58.8,02080207002516,Chesterfield,3,0.03
390 (Lake/Pond),39004,Perennial,62589076,Boat Lake,01478243,2002-11-27T00:00:00Z,NA,02080205001564,Richmond City,2.95,0.03
390 (Lake/Pond),39009,Perennial; Average Water Elevation,135653048,NA,NA,2005-05-17T10:52:13Z,31.7,02080206002486,Henrico,2.94,0.03
390 (Lake/Pond),39004,Perennial,{BC560E73-E95E-4173-879A-39E3F5973177},NA,NA,2012-05-30T00:00:00Z,NA,02080205006837,Henrico,2.93,0.03
390 (Lake/Pond),39004,Perennial,135652655,NA,NA,2012-07-25T00:00:00Z,NA,02080206014776,Henrico,2.92,0.03
390 (Lake/Pond),39004,Perennial,135653203,NA,NA,2012-07-25T00:00:00Z,NA,02080206015219,Henrico,2.9,0.03
390 (Lake/Pond),39004,Perennial,61496159,NA,NA,2002-11-15T00:00:00Z,NA,02080207002487,Chesterfield,2.82,0.03
390 (Lake/Pond),39004,Perennial,{8A077F4B-07E1-4534-827E-A9926017E5B7},NA,NA,2012-07-25T00:00:00Z,NA,02080206016772,Henrico,2.79,0.03
390 (Lake/Pond),39004,Perennial,61497107,NA,NA,2002-11-15T00:00:00Z,NA,02080207002530,Chesterfield,2.79,0.03
390 (Lake/Pond),39004,Perennial,135652436,Lake Overton,01471987,2005-05-17T10:36:29Z,NA,02080206002432,Henrico,2.78,0.03
390 (Lake/Pond),39004,Perennial,{BD761E47-A43B-4F9F-9C63-E3A39A7CD250},NA,NA,2012-07-25T00:00:00Z,NA,02080206016767,Henrico,2.77,0.03
390 (Lake/Pond),39009,Perennial; Average Water Elevation,135652429,Hoehns Lake,01468094,2005-05-17T10:36:20Z,67.1,02080206002431,Henrico,2.76,0.03
390 (Lake/Pond),39004,Perennial,135653268,NA,NA,2005-05-17T10:56:58Z,NA,02080206002164,Chesterfield,2.75,0.03
390 (Lake/Pond),39004,Perennial,61495779,NA,NA,2002-11-15T00:00:00Z,NA,02080207008574,Chesterfield,2.74,0.03
390 (Lake/Pond),39004,Perennial,61495835,NA,NA,2002-11-15T00:00:00Z,NA,02080207002473,Chesterfield,2.74,0.03
390 (Lake/Pond),39004,Perennial,135652978,NA,NA,2005-05-17T10:50:30Z,NA,02080206015060,Richmond City,2.73,0.03
390 (Lake/Pond),39004,Perennial,135652634,NA,NA,2005-05-17T10:41:33Z,NA,02080206002077,Henrico,2.65,0.03
