,FDT_STA_ID,Date,Year,Month,DOY,decDate,MaxDepth.x,TMin,TMean,TMax,TRange,DOMin,DOMean,DOMax,DORange,TotObs_Sta,MinYear,MaxYear,YearRange,MinDepth,MeanDepth,MaxDepth.y,MedDepth,Mean Tmax,Tmax Anom
8943,4AROA038.49,10/6/1969,1969,10,279,1969.761644,0.3,22.8,22.8,22.8,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,,2.8
8962,4AROA038.49,10/17/1971,1971,10,290,1971.791781,0.3,21.1,21.1,21.1,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,,1.2
8978,4AROA038.49,10/2/1972,1972,10,276,1972.751366,0.3,20.0,20.0,20.0,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,,0.1
8979,4AROA038.49,10/18/1972,1972,10,292,1972.795082,0.3,17.8,17.8,17.8,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,,-2.2
8993,4AROA038.49,10/1/1973,1973,10,274,1973.747945,0.3,22.2,22.2,22.2,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,,2.3
9002,4AROA038.49,10/10/1974,1974,10,283,1974.772603,0.3,19.0,19.0,19.0,0.0,NA,NA,NA,NA,197,1968,2023,55,0.3,3.3,14.0,0.3,,-0.9
9034,4AROA038.49,10/15/2001,2001,10,288,2001.786301,0.3,20.8,20.8,20.8,0.0,8.62,8.62,8.62,0,197,1968,2023,55,0.3,3.3,14.0,0.3,,0.9
9040,4AROA038.49,10/16/2002,2002,10,289,2002.789041,0.3,19.3,19.3,19.3,0.0,7.75,7.75,7.75,0,197,1968,2023,55,0.3,3.3,14.0,0.3,,-0.6
9051,4AROA038.49,10/18/2005,2005,10,291,2005.794521,0.3,19.4,19.4,19.4,0.0,6.5,6.505,6.51,0.01,197,1968,2023,55,0.3,3.3,14.0,0.3,,-0.5
9054,4AROA038.49,10/25/2006,2006,10,298,2006.813699,0.3,14.9,14.9,14.9,0.0,8.3,8.3,8.3,0,197,1968,2023,55,0.3,3.3,14.0,0.3,,-5.0
9075,4AROA038.49,10/4/2010,2010,10,277,2010.756164,7,19.0,19.2,19.3,0.3,6,6.075,6.2,0.2,197,1968,2023,55,0.3,3.3,14.0,0.3,,-0.6
9082,4AROA038.49,10/1/2012,2012,10,275,2012.748634,5,23.0,23.1,23.1,0.1,8.07,8.362,8.59,0.52,197,1968,2023,55,0.3,3.3,14.0,0.3,,3.1
9089,4AROA038.49,10/7/2014,2014,10,280,2014.764384,7,21.1,21.2,21.4,0.3,7.76,8.162,8.56,0.8,197,1968,2023,55,0.3,3.3,14.0,0.3,,1.5
9096,4AROA038.49,10/26/2016,2016,10,300,2016.81694,7,17.9,18.2,18.3,0.4,7.58,7.909,8.27,0.69,197,1968,2023,55,0.3,3.3,14.0,0.3,,-1.6
9103,4AROA038.49,10/3/2018,2018,10,276,2018.753425,9,21.1,23.1,25.2,4.1,5.62,7.695,9.85,4.23,197,1968,2023,55,0.3,3.3,14.0,0.3,,5.3
9110,4AROA038.49,10/7/2019,2019,10,280,2019.764384,5,25.1,25.3,25.8,0.7,5.55,6.035,6.87,1.32,197,1968,2023,55,0.3,3.3,14.0,0.3,,5.9
9114,4AROA038.49,10/27/2020,2020,10,301,2020.819672,7,16.7,17.7,19.0,2.4,7.2,7.699,8.74,1.54,197,1968,2023,55,0.3,3.3,14.0,0.3,,-0.9
9127,4AROA038.49,10/31/2022,2022,10,304,2022.830137,6,16.1,16.7,17.4,1.3,8.48,9.459,9.96,1.48,197,1968,2023,55,0.3,3.3,14.0,0.3,,-2.6
