FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,model_slope,model_MAD,model_pval
2-JKS044.60,5,12.064705882352941,8,15.5,17,May,0.021111111111111094,0.09034169803921571,0.37782287597656256
2-JKS044.60,6,17.81692307692308,15.13,19.9,13,June,0.035012626262626294,0.052798905303030164,0.27343750000000017
2-JKS044.60,7,17.785,13.32,21.1,14,July,-0.0441075514874142,0.1518138295194508,0.1870750797581153
2-JKS044.60,8,16.561666666666667,10.2,19.4,12,August,-0.10771428571428565,0.038568096774193573,0.0048828125000000035
2-JKS044.60,9,12.305833333333334,7.1,16.01,12,September,0.06692546583850931,0.11916397499999995,0.03755938725628819
2-JKS044.60,10,5.457272727272727,0.92,10.2,11,October,-0.1888095238095238,0.08054629411764704,0.004882812499999999
2-JKS046.40,5,11.691176470588236,7.9,15,17,May,0.06999999999999992,0.08450819999999971,0.017425537109375003
2-JKS046.40,6,17.259285714285713,14.82,19.4,14,June,0.027642140468227428,0.05485619999999988,0.6154314715052189
2-JKS046.40,7,17.22875,11.87,20.7,16,July,-0.08239234449760745,0.05938432662538726,0.07391357421875001
2-JKS046.40,8,15.6,10.4,18.9,15,August,-0.07870689655172411,0.06492765517241379,0.08325195312500001
2-JKS046.40,9,11.236923076923077,6.2,15.18,13,September,0.11052083333333329,0.09078718750000005,0.010498046875000007
2-JKS046.40,10,5.166,1.31,10.12,15,October,-0.058333333333333334,0.12775069999999994,0.030151367187500007
2-JKS048.90,5,10.905714285714286,7.2,14.48,14,May,0.02708556149732621,0.030846678475935804,0.0010908351761252978
2-JKS048.90,6,16.50181818181818,13.8,18.44,11,June,0.04610389610389602,0.04619521245059284,0.8310546874999999
2-JKS048.90,7,17.1625,12.7,21.5,12,July,-0.026931818181818397,0.10845093494663195,0.22383716469226875
2-JKS048.90,8,14.638823529411765,9.2,18.3,17,August,-0.05999999999999994,0.10271497727272724,0.03479003906250001
2-JKS053.48,5,3.630909090909091,1.1,6.86,11,May,0.0698235294117647,0.09600320269223676,0.08300781249999999
2-JKS053.48,6,5.702,1.7,9.01,10,June,0.30000000000000004,0.17939459999999996,0.014305878435429633
4ABSA000.62,5,12.3985,8.1,17.29,20,May,0.16250000000000003,0.19780781034482758,0.009463314958374982
4ABSA000.62,6,15.021481481481482,11.96,18.25,27,June,-0.0066873065015480146,0.09228126728586189,0.5780609846115111
4ABSA000.62,7,13.928235294117647,10.1,19.64,17,July,0.12152941176470587,0.12515964224598922,0.005569458007812501
4ABSA000.62,8,10.7208,7.5,14.53,25,August,0.03303030303030296,0.07213635227272724,0.07098364830017088
4ABSA000.62,9,6.626,2.16,10.36,15,September,0.29422222222222216,0.04538403333333321,6.103515625000003e-5
4ABSA000.62,10,2.2723809523809524,0.15,6.4,21,October,0.027916666666666673,0.090368,0.6827135086059569
4ABWR002.50,5,12.45608695652174,7.4,17.02,23,May,0.07964285714285713,0.09247382758620674,0.004851341247558593
4ABWR002.50,6,16.400357142857143,12.7,22.7,28,June,-0.05499999999999995,0.10272299999999995,0.05432355018781631
4ABWR002.50,7,14.494761904761905,11.31,22.1,21,July,0.014375000000000027,0.10357051147058836,0.4948024749755859
4ABWR002.50,8,11.846153846153847,8.3,17,26,August,-0.08803571428571427,0.10625299999999986,6.058018737316806e-4
4ABWR002.50,9,8.048235294117648,1.3,25.7,17,September,0.1324615384615385,0.24415652307692304,0.07141113281250001
4ABWR002.50,10,2.549166666666667,0.05,7.1,24,October,-0.06333333333333335,0.0526772272727273,2.0146369934082065e-5
4ABWR010.55,5,13.315625,7.5,17.87,16,May,0.2113095238095238,0.05892313157894736,0.003466640138746907
4ABWR010.55,6,16.4672,13.6,21.5,25,June,0.009722222222222257,0.05164095833333332,0.4261419773101806
4ABWR010.55,7,15.063181818181818,11.11,19.06,22,July,0.13142857142857148,0.10155810000000004,9.265382981174143e-4
4ABWR010.55,8,12.499583333333334,7.9,21.72,24,August,0.03689655172413783,0.08189599999999994,0.04248917102813729
4ABWR010.55,9,7.313529411764706,3.1,11.45,17,September,0.12742857142857142,0.09887137777777781,1.5258789062500003e-5
4ABWR010.55,10,3.1508,0.53,7.5,25,October,-0.012788461538461533,0.06293274125874124,0.4907859563827514
4ABWR017.42,5,8.611538461538462,6.4,12.1,13,May,0.008939393939393938,0.08369708058968066,0.4548339843750002
4ABWR017.42,6,12.23421052631579,5.8,25.5,19,June,0.016612903225806434,0.052049154121863825,0.1956329345703125
4ABWR017.42,7,10.29625,4.7,12.99,16,July,-0.00454545454545461,0.07382112500000002,0.9320932826616748
4ABWR017.42,8,8.432666666666666,6.3,11.34,15,August,0.0635353535353535,0.0695062348484849,0.008361816406250003
4ABWR017.42,9,5.668181818181818,2.8,9.2,11,September,-0.02023809523809525,0.16027455731225293,0.7001953124999999
4ABWR017.42,10,2.314375,0.86,4.51,16,October,0.058632478632478634,0.02106719244264506,0.005659531250802598
4ACCK001.80,5,11.59421052631579,8.3,16.16,19,May,0.09333333333333325,0.08002238461538465,3.814697265625e-5
4ACCK001.80,6,14.432608695652174,0,19,23,June,0.027222222222222304,0.10238903431372565,0.2226152420043945
4ACCK001.80,7,14.760714285714286,11.4,19.41,14,July,-5.681818181819068e-4,0.08999197826086952,0.4897468926550186
4ACCK001.80,8,11.488636363636363,6.5,16.99,22,August,0,0.07667703076923078,0.8960408400097029
4ACCK001.80,9,6.895555555555555,1.7,14.45,18,September,0.13062500000000005,0.1534187543859649,0.023503134058419153
