FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept
2-JKS044.60,5,18.961111111111112,13,22.7,18,May,2-JKS044.60_5,-0.03137254901960749,0.0997629911764698,0.7763579405343053,83.01960784313661
2-JKS044.60,6,24.918,22.2,26.5,15,June,2-JKS044.60_6,0.06404761904761899,0.021470705882352992,3.051757812500001e-4,-102.99523809523791
2-JKS044.60,7,26.47611111111111,23.8,29.1,18,July,2-JKS044.60_7,0.038675213675213656,0.048537499999999935,0.3927383422851563,-51.50512820512809
2-JKS044.60,8,26.052777777777777,24.03,27.6,18,August,2-JKS044.60_8,4.166666666656949e-5,0.037065000000000264,0.4330404965037354,25.924631578947576
2-JKS044.60,9,23.497692307692308,20.6,25.24,13,September,2-JKS044.60_9,0.09423076923076917,0.03706499999999999,7.324218750000004e-4,-165.58816137566157
2-JKS044.60,10,18.071578947368423,15.56,21.75,19,October,2-JKS044.60_10,0.013356643356643369,0.06209344055944061,0.9529838562011719,-8.306433566433627
2-JKS046.40,5,18.86888888888889,13,22.5,18,May,2-JKS046.40_5,-0.025909090909090923,0.07589499999999995,0.6950584569564157,71.52454545454549
2-JKS046.40,6,24.751333333333335,21.5,26.37,15,June,2-JKS046.40_6,0.050555555555555326,0.031299333333333595,8.544921875000003e-4,-76.4133333333331
2-JKS046.40,7,26.410555555555554,23.8,29.7,18,July,2-JKS046.40_7,0.02900000000000009,0.07409198461538441,0.39403389900148794,-31.649000000000523
2-JKS046.40,8,25.812941176470588,22.5,27.5,17,August,2-JKS046.40_8,-5.892857142856763e-4,0.041027425,0.7466583251953126,27.17032142857134
2-JKS046.40,9,23.220769230769232,18.8,25.12,13,September,2-JKS046.40_9,0.10101010101010102,0.07291110845295043,7.324218750000004e-4,-179.04838383838404
2-JKS046.40,10,18.11111111111111,15.2,22,18,October,2-JKS046.40_10,0.005511982570806022,0.07010580000000005,0.9322814941406251,7.366819172113495
2-JKS048.90,5,19.05,12.7,23,18,May,2-JKS048.90_5,-0.03819875776397506,0.13815320537549422,0.9622437572510525,96.25931677018605
2-JKS048.90,6,24.97,22.3,26.9,13,June,2-JKS048.90_6,0.056666666666666615,0.013590499999999901,0.0046386718750000035,-88.2266666666668
2-JKS048.90,7,26.754444444444445,23.7,31.3,18,July,2-JKS048.90_7,5.982905982905478e-4,0.055249025641025455,0.5712430483673426,25.401025641025907
