FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,model_slope,model_MAD,model_pval
2-JKS044.60,5,11.242823529411766,7.833,17.233,17,May,-0.026777777777777716,0.07738031538461518,0.28416442871093756
2-JKS044.60,6,13.0055,10.7,14.758,14,June,0.05287792642140472,0.03166410000000013,0.0031651969166425343
2-JKS044.60,7,15.0049375,13.3,17.04,16,July,0.015238095238095377,0.04755792499999999,0.39339317948787816
2-JKS044.60,8,15.795642857142857,12.2,18.044,14,August,0.06599999999999992,0.044117940000000015,0.006932825388733264
2-JKS044.60,9,16.885153846153845,13.833,19.572,13,September,0.045619047619047906,0.06674720865384572,0.008056640625000005
2-JKS044.60,10,14.980636363636364,12.433,16.381,11,October,0.07775595238095243,0.026614435000000214,9.765624999999999e-4
2-JKS046.40,5,11.600176470588236,8.167,17.367,17,May,-0.04455419580419584,0.06303813603263411,0.13236999511718753
2-JKS046.40,6,14.235214285714285,11.233,16.445,14,June,0.068972727272727255,0.05405864324110669,0.020132200733459133
2-JKS046.40,7,15.7730625,13.833,17.946,16,July,0.06459230769230777,0.03956137113712361,0.004100612752272017
2-JKS046.40,8,16.9066,14.167,19.704,15,August,0.08885714285714277,0.03819833764705893,0.004272460937500002
2-JKS046.40,9,17.931076923076922,15.733,19.927,13,September,0.09944836956521735,0.0421554902173911,0.0012207031250000009
2-JKS046.40,10,16.3344,13.467,18.346,15,October,-0.0026428571428571256,0.08464331379310348,0.27685546875000006
2-JKS048.90,5,12.531,8.5,18.1,15,May,-0.040472222222222194,0.10517893866666661,0.18762207031250003
2-JKS048.90,6,15.46375,13.433,17.987,12,June,0.0312272727272727,0.053521494827586225,0.16948199001218978
2-JKS048.90,7,17.197642857142856,15.2,20.062,14,July,0.056652873563218395,0.03873687387423945,0.03825291382349294
2-JKS048.90,8,18.381882352941176,15.2,21.02,17,August,0.058699999999999884,0.01592784136363662,0.0016784667968750002
2-JKS048.90,9,19.459,16.75,20.83,10,September,0.0729957264957265,0.06491934749999967,0.005859375
4ABSA000.62,5,12.996428571428572,9.733,15.067,21,May,-9.285714285713186e-4,0.14483148749999994,0.6332969665527343
4ABSA000.62,6,15.867266666666668,12.751,17.567,30,June,-0.024479166666666677,0.062363547272727284,0.058439397337650315
4ABSA000.62,7,18.42231818181818,16.311,19.667,22,July,-0.03802083333333339,0.04943825170454543,0.0031310631787976754
4ABSA000.62,8,19.9485,16.947,21.49,26,August,-0.02126315789473691,0.03635443971291828,0.033410161733627375
4ABSA000.62,9,20.533944444444444,19.159,21.721,18,September,-0.0030000000000001137,0.05411489999999963,0.7275066490948026
4ABSA000.62,10,19.09488,16.667,20.78,25,October,0.0445157142857143,0.024868079818181923,5.245208740234373e-6
4ABWR002.50,5,12.688,8.833,15.114,20,May,0.05466666666666648,0.11199807499999992,0.02389437956760017
4ABWR002.50,6,15.234310344827586,12.433,17.015,29,June,-0.020564285714285688,0.055112124999999984,0.11042107641696929
4ABWR002.50,7,17.99981818181818,16.551,19.061,22,July,0.048999999999999974,0.04961768000000023,0.0019183158874511717
4ABWR002.50,8,19.287576923076923,16.433,21.099,26,August,0.03982142857142835,0.04614298333333351,0.01280661731806364
4ABWR002.50,9,20.23105,18.175,21.655,20,September,0.04706249999999998,0.057158722727272786,0.009463314958374982
4ABWR002.50,10,18.54612,15.667,20.467,25,October,0.07647039473684211,0.05696514276315766,1.9669532775878898e-6
4ABWR010.55,5,13.015454545454546,9.833,15.767,22,May,-0.009791666666666683,0.14596197,0.8455442495661196
4ABWR010.55,6,15.89953125,12.613,17.967,32,June,-0.01107608695652178,0.03680126826923097,0.18739223990838383
4ABWR010.55,7,18.5525,16.44,20.313,24,July,-0.024599999999999983,0.04762883647058848,0.10738253593444846
4ABWR010.55,8,20.010576923076922,17.142,21.419,26,August,-0.002182769726247963,0.03964944136363627,0.6170915961265566
4ABWR010.55,9,20.8063,19.225,22.2,20,September,0.012972222222222236,0.06715354333333354,0.4440414877610069
4ABWR010.55,10,18.77051724137931,16.433,20.78,29,October,0.06566847826086955,0.03500005464426869,2.0489096641540514e-7
4ABWR017.42,5,18.24855,11.833,21.983,20,May,0.11334374999999992,0.14516008298076916,0.0019855499267578125
4ABWR017.42,6,21.299555555555557,16.167,25.88,27,June,0.08399999999999992,0.11188238727272722,5.4880976676940884e-5
4ABWR017.42,7,24.633875,22.378,26.43,24,July,0.04628787878787882,0.07630447999999995,0.006358246622638375
4ABWR017.42,8,24.704833333333333,22.067,26.762,24,August,0.06328846153846145,0.060892499999999926,0.019875481417767328
4ABWR017.42,9,23.7628,20.834,27.094,20,September,0.16762500000000014,0.13664629999999997,1.5069199293184292e-4
4ABWR017.42,10,19.184583333333332,16.6,22.665,24,October,0.05280423280423278,0.07530213582375457,0.0015923527259907567
4ACCK001.80,5,13.139095238095239,9.9,15.633,21,May,0.03490000000000002,0.09593277346153863,0.7334699630737304
