FDT_STA_ID,MonthNum,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept,variable
2-JKS044.60,8,14,August,2-JKS044.60_8,0.06599999999999992,0.044117940000000015,0.006932825388733264,14.560500000000001,TMean
2-JKS046.40,8,15,August,2-JKS046.40_8,0.08885714285714277,0.03819833764705893,0.004272460937500002,14.061465838509315,TMean
2-JKS048.90,8,17,August,2-JKS048.90_8,0.058699999999999884,0.01592784136363662,0.0016784667968750002,16.918222222222226,TMean
4ABSA000.62,8,26,August,4ABSA000.62_8,-0.02126315789473691,0.03635443971291828,0.033410161733627375,21.116166666666675,TMean
4ABWR002.50,8,26,August,4ABWR002.50_8,0.03982142857142835,0.04614298333333351,0.01280661731806364,18.59435714285715,TMean
4ABWR010.55,8,26,August,4ABWR010.55_8,-0.002182769726247963,0.03964944136363627,0.6170915961265566,20.34653636363636,TMean
4ABWR017.42,8,24,August,4ABWR017.42_8,0.06328846153846145,0.060892499999999926,0.019875481417767328,22.261480769230772,TMean
4ACCK001.80,8,23,August,4ACCK001.80_8,0.01831249999999992,0.057334019318181856,0.3145539760589599,19.37625000000001,TMean
4ACOA000.60,8,24,August,4ACOA000.60_8,-0.018300000000000573,0.028488383636363638,0.03829902909090801,20.859953846153857,TMean
4AGIL002.39,8,27,August,4AGIL002.39_8,-0.0416116071428571,0.04453756874999947,0.002248302102088928,24.024357142857145,TMean
4AROA018.36,8,11,August,4AROA018.36_8,0.025406249999999964,0.016173038194444062,0.045340350043372994,24.363312500000003,TMean
4AROA038.49,8,14,August,4AROA038.49_8,0.08838725720551377,0.03442720749999996,3.6621093750000016e-4,25.33253125,TMean
4AROA140.66,8,17,August,4AROA140.66_8,0.08922970085470097,0.05031494551282031,3.051757812500001e-5,19.533893162393163,TMean
4AROA145.34,8,17,August,4AROA145.34_8,0.06537931034482754,0.02785809051724142,7.629394531250003e-5,21.162547619047622,TMean
4AROA158.22,8,23,August,4AROA158.22_8,0.0187927170868347,0.0745432176470591,0.15107226371765134,18.751875,TMean
4AROA163.76,8,27,August,4AROA163.76_8,0.042739583333333386,0.04761308125000015,0.0032471865415573116,18.04973181818182,TMean
4AROA167.34,8,24,August,4AROA167.34_8,0.029398190045248875,0.03889353999999982,0.0028277594176846226,19.13864957264957,TMean
4AROA175.63,8,33,August,4AROA175.63_8,-0.008519230769230673,0.02918631153846091,0.24908834253437886,19.948051282051267,TMean
4AROA180.21,8,31,August,4AROA180.21_8,-0.031743589743589845,0.022875179197324527,7.78166577219962e-5,20.925170940170943,TMean
4AROA183.64,8,32,August,4AROA183.64_8,-2.641304347826187e-4,0.025691177995169148,0.977623052075982,20.956227272727276,TMean
4AROA192.94,8,28,August,4AROA192.94_8,-0.017097222222222166,0.04642832500000006,0.1299374141750227,26.275844015444015,TMean
4ASRE046.90,8,17,August,4ASRE046.90_8,0.20533258928571424,0.06993058431461352,1.5258789062500003e-5,10.679692307692312,TMean
4ASRE048.98,8,13,August,4ASRE048.98_8,0.0576354166666669,0.1248472750000004,0.008056640625000005,11.790508928571427,TMean
4ASRE052.31,8,14,August,4ASRE052.31_8,-0.013768398268398346,0.09508645472727259,0.45103589747961725,17.04537012987013,TMean
4ASRE056.06,8,16,August,4ASRE056.06_8,0.14055,0.06651518196172228,4.8030019257880486e-4,18.69001923076923,TMean
4AWTH000.40,8,25,August,4AWTH000.40_8,0.008571428571428445,0.042598274999999935,0.9999999999999999,19.812083916083907,TMean
8-NAR047.69,8,18,August,8-NAR047.69_8,0.025486111111111175,0.050634908333333326,0.06731744537473966,27.560756410256417,TMean
8-NAR054.17,8,13,August,8-NAR054.17_8,0.01389285714285716,0.02556896666666651,0.08032226562500007,28.614718750000016,TMean
9-NEW087.14,8,28,August,9-NEW087.14_8,0.05197744360902261,0.026673068468899566,1.9658182599419734e-4,18.5225625,TMean
9-NEW089.34,8,27,August,9-NEW089.34_8,0.07561111111111075,0.05882172149122755,3.0234456062316874e-5,19.811222222222234,TMean
9-NEW092.66,8,27,August,9-NEW092.66_8,0.08945535714285724,0.03192973249999988,9.536743164062493e-6,18.92641919191919,TMean
9-NEW098.32,8,22,August,9-NEW098.32_8,0.03297916666666663,0.07619621118421052,0.21728638932928782,24.794064102564107,TMean
9-PKC000.00,8,26,August,9-PKC000.00_8,0.056440000000000004,0.01726984615384604,1.3905102304452832e-4,22.179730769230765,TMean
9-PKC004.16,8,17,August,9-PKC004.16_8,-0.00944444444444442,0.02618814774774768,0.8536376953125001,26.77458333333334,TMean
2-JKS044.60,8,14,August,2-JKS044.60_8,0.0850000000000001,0.04675892307692308,0.006292761002545236,7.249523809523809,TMin
2-JKS046.40,8,15,August,2-JKS046.40_8,0.07666330645161293,0.04824389903846157,0.04791259765625001,8.14701406120761,TMin
2-JKS048.90,8,17,August,2-JKS048.90_8,0.10080645161290323,0.05426947983870969,3.814697265625001e-4,8.474509803921567,TMin
4ABSA000.62,8,26,August,4ABSA000.62_8,0.02794117647058811,0.06712191176470586,0.18398940347528847,16.53557692307693,TMin
4ABWR002.50,8,26,August,4ABWR002.50_8,0.12290640394088675,0.06380461769115435,2.811707961243163e-4,13.07503448275862,TMin
4ABWR010.55,8,26,August,4ABWR010.55_8,0,0.07413000000000004,0.9886020368185288,16.690350877192976,TMin
4ABWR017.42,8,24,August,4ABWR017.42_8,-0.004882352941176314,0.08298009820971844,0.6372831874683713,20.360470588235295,TMin
4ACCK001.80,8,23,August,4ACCK001.80_8,0.02214646464646468,0.06770446401515154,0.2226152420043945,15.900000000000002,TMin
