FDT_STA_ID,MonthNum,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept,variable
2-JKS044.60,8,14,August,2-JKS044.60_8,-0.09204545454545451,0.08760818181818118,0.14746093749999997,5.767954545454545,DOMin
2-JKS046.40,8,15,August,2-JKS046.40_8,-0.03462171052631579,0.05244011594075429,0.21630859375000017,2.5441118421052633,DOMin
2-JKS048.90,8,17,August,2-JKS048.90_8,-0.01964285714285714,0.02319209999999999,0.006103515625,0.9464285714285714,DOMin
4ABSA000.62,8,26,August,4ABSA000.62_8,-0.00999999999999999,0.0518204,0.2139204809298949,1.6,DOMin
4ABWR002.50,8,26,August,4ABWR002.50_8,0.06960317460317461,0.07430522497420018,0.00185871124267578,-0.4688068181818181,DOMin
4ABWR010.55,8,26,August,4ABWR010.55_8,-0.03333333333333334,0.03741799999999998,2.781995283811634e-4,1.6133333333333333,DOMin
4ABWR017.42,8,24,August,4ABWR017.42_8,-0.00473076923076923,0.02224800364372468,0.6332969665527343,0.6311538461538462,DOMin
4ACCK001.80,8,23,August,4ACCK001.80_8,0.02697368421052631,0.09700068421052632,0.3524589538574219,1.0230027173913046,DOMin
4ACOA000.60,8,24,August,4ACOA000.60_8,-0.01083333333333332,0.06501083333333335,0.4937627366612692,1.2775,DOMin
4AGIL002.39,8,27,August,4AGIL002.39_8,-0.00472222222222222,0.01488483333333332,0.2001552581787109,0.46777777777777774,DOMin
4AROA018.36,8,11,August,4AROA018.36_8,0.01714285714285714,0.01397024242424241,0.08300781249999999,-0.4038992042440318,DOMin
4AROA038.49,8,14,August,4AROA038.49_8,0.00386904761904737,0.0194390681818178,0.10255510870954554,4.148351515151518,DOMin
4AROA140.66,8,17,August,4AROA140.66_8,0.01291666666666666,0.00903038181818182,0.16219923411315051,-0.12606060606060604,DOMin
4AROA145.34,8,17,August,4AROA145.34_8,-0.03119047619047619,0.04698429999999999,0.02661132812500001,3.3762500000000006,DOMin
4AROA158.22,8,23,August,4AROA158.22_8,0.06975490196078432,0.06264711764705883,0.0025787353515625,0.5895588235294109,DOMin
4AROA163.76,8,27,August,4AROA163.76_8,0.10863247863247864,0.08109948717948717,0.00540635793005466,-2.187948717948718,DOMin
4AROA167.34,8,24,August,4AROA167.34_8,0.09271978021978022,0.0336843461538461,1.5069199293184292e-4,-2.43625,DOMin
4AROA175.63,8,33,August,4AROA175.63_8,0,0.01126925757575757,0.38487926616636936,0.1,DOMin
4AROA180.21,8,31,August,4AROA180.21_8,0,0.0129165909090909,0.9404758102696918,0.1,DOMin
4AROA183.64,8,32,August,4AROA183.64_8,0,0.01126205769230769,0.5589635331621737,0.1,DOMin
4AROA192.94,8,28,August,4AROA192.94_8,-0.01527777777777782,0.04925526666666677,0.06899754721819523,7.497499999999999,DOMin
4ASRE046.90,8,17,August,4ASRE046.90_8,-0.064,0.05297647499999999,0.37573242187500017,7.004000000000003,DOMin
4ASRE048.98,8,13,August,4ASRE048.98_8,0.04065934065934067,0.04659599999999993,0.06636912925875019,0.1769230769230767,DOMin
