variable,month,reservoir,coefficient,coef.error,p.val,RSQR
DORange,July,Kerr-Leesville-Smith Mountain,-9e-4,5e-4,0.0923,0.203
DORange,August,Kerr-Leesville-Smith Mountain,-4e-4,6e-4,0.5443,-0.0642
DORange,September,Kerr-Leesville-Smith Mountain,-7e-4,7e-4,0.342,0.0023
DORange,October,Kerr-Leesville-Smith Mountain,-0,0.0023,0.9948,-0.1428
DORange,All Months,Kerr-Leesville-Smith Mountain,-3e-4,4e-4,0.4489,-0.0388
TMax,May,Moomaw,-0.0012,7e-4,0.2357,0.3763
TMax,June,Moomaw,-5e-4,0.001,0.6785,-0.345
TMax,July,Moomaw,-0.0048,0.0016,0.1016,0.7108
TMax,August,Moomaw,-0.002,5e-4,0.0467,0.8633
TMax,September,Moomaw,-0.0048,0.0022,0.1638,0.5488
TMax,October,Moomaw,-0.0083,0.0022,0.0644,0.813
TMax,All Months,Moomaw,-0.0036,5e-4,0.0162,0.9519
TMax,May,Philpott,0.0042,0.0025,0.2349,0.3782
TMax,June,Philpott,-0.0044,0.001,0.0491,0.8564
TMax,July,Philpott,0.0022,0.0011,0.1897,0.4848
TMax,August,Philpott,0.0069,0.0022,0.0909,0.7397
TMax,September,Philpott,-0.008,0.0055,0.2833,0.2704
TMax,October,Philpott,-0.0014,0.005,0.79990000000000006,-0.44
TMax,All Months,Philpott,-1e-4,0.0016,0.9693,-0.4986
TMax,May,Claytor,0.0011,0.0016,0.5691,-0.2215
TMax,June,Claytor,-0.0017,0.0011,0.2682,0.3034
TMax,July,Claytor,-0.0017,0.001,0.2381,0.3706
TMax,August,Claytor,-3e-4,2e-4,0.2525,0.3381
TMax,September,Claytor,-0.0027,0.0012,0.1474,0.5904
TMax,October,Claytor,8e-4,7e-4,0.3289,0.1756
TMax,All Months,Claytor,-8e-4,2e-4,0.0528,0.8457
TMax,May,Kerr-Leesville-Smith Mountain,3e-4,4e-4,0.4536,-0.0342
TMax,June,Kerr-Leesville-Smith Mountain,-3e-4,3e-4,0.4098,-0.0226
TMax,July,Kerr-Leesville-Smith Mountain,-1e-4,3e-4,0.8339,-0.0864
TMax,August,Kerr-Leesville-Smith Mountain,-5e-4,3e-4,0.0865,0.1749
TMax,September,Kerr-Leesville-Smith Mountain,9e-4,5e-4,0.0813,0.1828
TMax,October,Kerr-Leesville-Smith Mountain,-3e-4,3e-4,0.391,-0.0172
TMax,All Months,Kerr-Leesville-Smith Mountain,0,3e-4,0.9486,-0.0905
TMean,May,Moomaw,-0.0029,0.0032,0.5337,-0.1056
TMean,June,Moomaw,-0.0057,0.0067,0.553,-0.1658
TMean,July,Moomaw,0.0088,0.0085,0.4887,0.0355
TMean,August,Moomaw,-0.0023,0.0069,0.7913,-0.7926
TMean,September,Moomaw,0.0053,0.0113,0.72,-0.6375
TMean,October,Moomaw,-0.0447,NA,NA,NA
TMean,All Months,Moomaw,-8e-4,0.0022,0.7762,-0.7629
TMean,May,Philpott,-0.0068,0.0025,0.1145,0.6761
TMean,June,Philpott,-0.0091,0.0129,0.5551,-0.2031
TMean,July,Philpott,-0.0029,0.0147,0.8601,-0.4707
TMean,August,Philpott,-0.006,0.0163,0.7483,-0.405
TMean,September,Philpott,-0.0355,0.0212,0.3426,0.4746
TMean,October,Philpott,-0.0273,0.0126,0.1635,0.5496
TMean,All Months,Philpott,-0.0134,0.0103,0.3233,0.1869
TMean,May,Claytor,-0.0066,0.0038,0.2266,0.3971
TMean,June,Claytor,-0.0016,0.0015,0.4119,0.0187
TMean,July,Claytor,8e-4,0.0032,0.8205,-0.4517
TMean,August,Claytor,-0.0021,0.0033,0.5826,-0.2387
TMean,September,Claytor,-0.0019,0.0038,0.6649,-0.3315
TMean,October,Claytor,-0.0122,0.004,0.0908,0.7399
TMean,All Months,Claytor,-0.004,0.0024,0.2376,0.372
TMean,May,Kerr-Leesville-Smith Mountain,4e-4,5e-4,0.4654,-0.048
TMean,June,Kerr-Leesville-Smith Mountain,-6e-4,5e-4,0.2012,0.0945
TMean,July,Kerr-Leesville-Smith Mountain,-4e-4,4e-4,0.357,-0.0058
TMean,August,Kerr-Leesville-Smith Mountain,-8e-4,3e-4,0.024,0.3883
TMean,September,Kerr-Leesville-Smith Mountain,-1e-4,3e-4,0.5958,-0.0837
TMean,October,Kerr-Leesville-Smith Mountain,-4e-4,3e-4,0.2628,0.0569
TMean,All Months,Kerr-Leesville-Smith Mountain,-3e-4,2e-4,0.10780000000000001,0.1796
TMin,May,Moomaw,-0.0127,0.0037,0.1799,0.8444
TMin,June,Moomaw,0.0015,0.006,0.8417,-0.8789
TMin,July,Moomaw,0.0077,0.015,0.6986,-0.5841
TMin,August,Moomaw,0.0041,0.004,0.4945,0.0174
TMin,September,Moomaw,0.0224,0.0125,0.3233,0.527
TMin,October,Moomaw,-0.0087,NA,NA,NA
TMin,All Months,Moomaw,0.0057,0.0028,0.2867,0.6212
TMin,May,Philpott,0.0022,0.0033,0.5839,-0.2403
TMin,June,Philpott,-7e-4,0.009,0.9438,-0.4953
TMin,July,Philpott,0.019,0.0128,0.276,0.2864
TMin,August,Philpott,-0.0048,0.0159,0.7931,-0.4358
TMin,September,Philpott,-0.0453,0.0324,0.3949,0.3242
TMin,October,Philpott,-0.0292,0.0044,0.0223,0.9339
TMin,All Months,Philpott,-0.0079,0.0111,0.5524,-0.1995
TMin,May,Claytor,0.0084,0.0032,0.1166,0.6705
TMin,June,Claytor,0.0116,0.0066,0.2225,0.4068
TMin,July,Claytor,0.0065,0.0077,0.489,-0.1083
TMin,August,Claytor,0.0036,2e-4,0.0028,0.9916
TMin,September,Claytor,-0.0025,0.0012,0.1747,0.5218
TMin,October,Claytor,-0.013,0.0073,0.2146,0.4252
TMin,All Months,Claytor,0.0024,0.0018,0.3083,0.2177
TMin,May,Kerr-Leesville-Smith Mountain,-0.001,8e-4,0.2478,0.058
TMin,June,Kerr-Leesville-Smith Mountain,8e-4,7e-4,0.2777,0.0381
TMin,July,Kerr-Leesville-Smith Mountain,-9e-4,5e-4,0.1241,0.158
TMin,August,Kerr-Leesville-Smith Mountain,-1e-4,4e-4,0.8022,-0.103
TMin,September,Kerr-Leesville-Smith Mountain,0.001,6e-4,0.1285,0.1723
TMin,October,Kerr-Leesville-Smith Mountain,-4e-4,9e-4,0.6798,-0.1134
TMin,All Months,Kerr-Leesville-Smith Mountain,1e-4,4e-4,0.8673,-0.1075
TRange,May,Moomaw,0.0126,0.0142,0.5372,-0.1165
TRange,June,Moomaw,-0.0015,4e-4,0.1563,0.8818
TRange,July,Moomaw,0.0067,0.0152,0.7354,-0.6739
TRange,August,Moomaw,0.0117,0.003,0.1596,0.8769
TRange,September,Moomaw,0.0315,0.0048,0.0965,0.9544
TRange,October,Moomaw,0.0311,NA,NA,NA
TRange,All Months,Moomaw,0.016,8e-4,0.0305,0.9954
TRange,May,Philpott,0.0011,0.0038,0.801,-0.4406
TRange,June,Philpott,-0.0065,0.0059,0.3824,0.0722
TRange,July,Philpott,-0.0066,0.0163,0.7244,-0.386
TRange,August,Philpott,0.0019,0.0152,0.9111,-0.4881
TRange,September,Philpott,0.0191,0.0186,0.4928,0.0226
TRange,October,Philpott,0.0336,0.0123,0.1129,0.6804
TRange,All Months,Philpott,0.0048,0.0128,0.7449,-0.4024
TRange,May,Claytor,-0.0186,0.0069,0.1138,0.678
