FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month
4AROA163.76,5,7.800869565217391,4.9,10.33,25,May
4AROA163.76,6,5.5675,0,9.6,37,June
4AROA163.76,7,3.764347826086956,0.4,8.36,23,July
4AROA163.76,8,2.1828,0.1,8.44,35,August
4AROA163.76,9,1.3876,0.07,7.43,25,September
4AROA163.76,10,2.259523809523809,0,6.1,29,October
4AROA167.34,5,6.883043478260869,2.12,10.36,25,May
4AROA167.34,6,4.641428571428571,0,9.31,35,June
4AROA167.34,7,2.7699999999999996,0.1,8.44,23,July
4AROA167.34,8,1.8699999999999992,0.06,8.49,31,August
4AROA167.34,9,1.008,0.07,7.68,25,September
4AROA167.34,10,2.0761904761904764,0,5.9,26,October
4AROA175.63,5,4.939545454545454,2.24,13.05,27,May
4AROA175.63,6,2.476333333333333,0,11.08,47,June
4AROA175.63,7,1.0762499999999995,0.1,10.62,33,July
4AROA175.63,8,0.5403571428571429,0,9.05,47,August
4AROA175.63,9,1.0368181818181814,0,9.52999999999999,27,September
4AROA175.63,10,1.8091666666666664,0,9.71,37,October
4AROA180.21,5,3.433181818181816,0.6,13.39,23,May
4AROA180.21,6,1.7696666666666667,0.1,12.11,36,June
4AROA180.21,7,0.7312,0,12.24,25,July
4AROA180.21,8,0.5248275862068965,0,9.93,34,August
4AROA180.21,9,1.0052173913043478,0,10.35,23,September
4AROA180.21,10,2.663599999999999,0.1,10.36,30,October
4AROA183.64,5,3.362727272727272,0.26,13.3,24,May
4AROA183.64,6,1.4879999999999998,0,12.31,39,June
4AROA183.64,7,0.7664,0,12.25,25,July
4AROA183.64,8,0.5396551724137931,0,9.98,37,August
4AROA183.64,9,1.1077272727272727,0,10.33,23,September
4AROA183.64,10,3.8871999999999995,0.2,10.36,33,October
4AROA192.55,5,8.32235294117647,5.9,11.35,31,May
4AROA192.55,6,9.314285714285713,6.8,13.5,35,June
4AROA192.55,7,9.234117647058822,7.2,11.3,34,July
4AROA192.55,8,9.669999999999998,5.68,12.3,36,August
4AROA192.55,9,9.434999999999999,7.01,14.7,34,September
4AROA192.55,10,9.421666666666663,8.6,11.2,31,October
4AROA192.94,5,7.103181818181818,3.17,9.3,24,May
4AROA192.94,6,6.609310344827586,1.53,8.5,36,June
4AROA192.94,7,6.298799999999999,3.3,10.7,25,July
4AROA192.94,8,7.115,5.25,10.4,35,August
4AROA192.94,9,7.346956521739131,5.3,14,23,September
4AROA192.94,10,8.870399999999995,6.7,12.77,33,October
4AROA196.05,5,8.37736842105263,7.13,9.6,24,May
4AROA196.05,6,7.417407407407407,0.14,11.9,42,June
4AROA196.05,7,7.388571428571428,6,9.69999999999999,27,July
4AROA196.05,8,7.451538461538461,5.7,9.8,43,August
4AROA196.05,9,8.1235,6.5,13.8,25,September
4AROA196.05,10,9.384782608695641,7.8,11.2,35,October
4ASRE046.90,5,7.732499999999998,1.58,9.25,19,May
4ASRE046.90,6,6.947692307692307,2.8,8.43,23,June
4ASRE046.90,7,4.92625,0.3,8.51,27,July
4ASRE046.90,8,4.617333333333332,1.04,14.4,30,August
4ASRE046.90,9,2.2516666666666665,0.08,8.17,18,September
4ASRE046.90,10,2.0915384615384616,0,7.31,20,October
4ASRE048.98,5,7.18375,5.6,9.3,18,May
4ASRE048.98,6,6.516923076923076,5.3,8.5,16,June
4ASRE048.98,7,4.05125,0.3,8.84,18,July
4ASRE048.98,8,2.3335714285714286,0.12,7.96,17,August
4ASRE048.98,9,1.2474999999999998,0.04,8.5,13,September
4ASRE048.98,10,1.7946153846153847,0,7.21,17,October
4ASRE052.31,5,5.851333333333334,4,7.37,17,May
4ASRE052.31,6,5.126666666666666,2.29999999999999,9.35,15,June
4ASRE052.31,7,2.059285714285714,0.23,7,16,July
4ASRE052.31,8,1.4099999999999993,0.1,9.19999999999999,16,August
4ASRE052.31,9,0.18444444444444444,0.1,0.36,10,September
4ASRE052.31,10,1.1636363636363636,0,7.33,15,October
4ASRE056.06,5,5.87090909090909,1.6,9.5,24,May
4ASRE056.06,6,3.9886666666666666,0.12,10.6,18,June
4ASRE056.06,7,1.8233333333333335,0,8.4,20,July
4ASRE056.06,8,2.8369999999999997,0.1,8.1,23,August
4ASRE056.06,9,2.8892857142857142,0.1,9.15,15,September
4ASRE056.06,10,7.099285714285713,3.78,8.19999999999999,18,October
4AWTH000.40,5,8.049130434782608,5.2,10.5,24,May
4AWTH000.40,6,6.774285714285714,0,10.3,32,June
4AWTH000.40,7,4.814347826086955,0,8.01,23,July
4AWTH000.40,8,3.0887499999999997,1.7,8.39,29,August
4AWTH000.40,9,2.1259999999999994,0.1,7.16,25,September
4AWTH000.40,10,3.5619047619047617,0.07,6.6,25,October
5ASRN000.66,5,5.87,0.9,10.72,13,May
5ASRN000.66,6,4.8966666666666665,0.7,15.9,11,June
5ASRN000.66,7,3.8763636363636365,0.65,11.9,12,July
5ASRN000.66,8,4.932222222222222,0.4,8.77,10,August
5ASRN000.66,9,5.6509090909090895,1.1,9.19999999999999,12,September
5ASRN000.66,10,7.45,3.86,10,11,October
6ACNR000.00,5,NA,Inf,-Inf,13,May
6ACNR000.00,6,NA,Inf,-Inf,16,June
6ACNR000.00,7,NA,Inf,-Inf,16,July
6ACNR000.00,8,NA,Inf,-Inf,14,August
6ACNR000.00,9,NA,Inf,-Inf,11,September
6ACNR000.00,10,NA,Inf,-Inf,13,October
6APNR008.15,5,NA,Inf,-Inf,14,May
6APNR008.15,6,NA,Inf,-Inf,18,June
6APNR008.15,7,NA,Inf,-Inf,17,July
6APNR008.15,8,NA,Inf,-Inf,15,August
6APNR008.15,9,NA,Inf,-Inf,11,September
6APNR008.15,10,NA,Inf,-Inf,13,October
8-NAR047.69,5,3.468125,0.18,9.11,16,May
8-NAR047.69,6,1.4855555555555555,0,7.9,18,June
8-NAR047.69,7,1.2594444444444444,0,7.84,18,July
8-NAR047.69,8,2.7459999999999996,0.02,6.7,20,August
8-NAR047.69,9,4.437777777777777,0,8.48,18,September
8-NAR047.69,10,6.609047619047619,2.38,8.6,21,October
8-NAR054.17,5,4.454166666666667,0.01,10.6,12,May
8-NAR054.17,6,1.6394117647058823,0,7.2,17,June
8-NAR054.17,7,2.23,0,8.58,16,July
8-NAR054.17,8,3.146842105263157,0,8,19,August
8-NAR054.17,9,4.684999999999999,0.02,9.47,16,September
8-NAR054.17,10,6.726470588235294,2.73,8.69,17,October
9-NEW087.14,5,3.4699999999999998,0.35,10.41,32,May
9-NEW087.14,6,1.2230434782608697,0,9.33,39,June
9-NEW087.14,7,0.7292592592592593,0,9.74,36,July
9-NEW087.14,8,1.2895652173913044,0,10.4,42,August
9-NEW087.14,9,0.6334782608695653,0,9.59,29,September
9-NEW087.14,10,0.6182608695652173,0,5.78,33,October
9-NEW089.34,5,3.8823076923076916,0.31,10.11,32,May
9-NEW089.34,6,1.1078260869565217,0,9.69,38,June
9-NEW089.34,7,0.7314814814814815,0,9.96,36,July
9-NEW089.34,8,1.118333333333333,0,9.44999999999999,41,August
9-NEW089.34,9,0.7147826086956521,0,9.52,28,September
9-NEW089.34,10,1.0443478260869565,0.06,6.89,34,October
9-NEW092.66,5,2.9647999999999994,0.13,9.44,31,May
9-NEW092.66,6,0.9691304347826087,0,10.47,38,June
9-NEW092.66,7,0.6477777777777778,0,9.68,36,July
9-NEW092.66,8,1.2304166666666667,0,9.24,41,August
9-NEW092.66,9,1.0530434782608695,0,10.11,30,September
9-NEW092.66,10,2.2521739130434777,0.09,7.23,34,October
9-NEW098.32,5,5.894090909090909,1,9.14,60,May
9-NEW098.32,6,4.821249999999999,0.19,8.81,60,June
9-NEW098.32,7,5.218043478260869,0.1,10.3,64,July
9-NEW098.32,8,5.708974358974358,0.5,9.4,61,August
9-NEW098.32,9,6.45720930232558,4.09999999999999,8.19999999999999,58,September
9-NEW098.32,10,7.645249999999999,2.7,10.72,58,October
9-PKC000.00,5,4.2644,0.07,8.9,27,May
9-PKC000.00,6,1.735652173913043,0,10.45,30,June
9-PKC000.00,7,1.057037037037037,0,10.02,28,July
9-PKC000.00,8,1.2843478260869556,0,8.78999999999999,32,August
9-PKC000.00,9,2.5921739130434784,0.02,10.25,23,September
9-PKC000.00,10,4.538260869565217,0.2,7.3,30,October
9-PKC004.16,5,8.45,0.4,12.11,27,May
9-PKC004.16,6,7.647826086956521,3.15,10,30,June
9-PKC004.16,7,7.913333333333333,0.35,16.6,28,July
9-PKC004.16,8,7.404782608695651,0.25,11.4,32,August
9-PKC004.16,9,7.722173913043478,0.579999999999999,11,23,September
9-PKC004.16,10,8.74304347826087,6.72,12.3,30,October
