FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept
2-JKS044.60,5,8.719999999999999,6.6,10.6,17,May,2-JKS044.60_5,0.06257352941176478,0.05014676470588249,1.8310546875000008e-4,-116.76963235294139
2-JKS044.60,6,6.457272727272727,4.4,8.1,14,June,2-JKS044.60_6,-0.05979166666666663,0.044169124999999976,0.03222656249999999,126.96062499999991
2-JKS044.60,7,4.007142857142855,0.1,6.2,16,July,2-JKS044.60_7,0.012015810276680297,0.09103307246376842,0.2328509472678742,-19.87154150197724
2-JKS044.60,8,2.462727272727272,0.11,5.09999999999999,14,August,2-JKS044.60_8,-0.09204545454545451,0.08760818181818118,0.14746093749999997,187.55772727272722
2-JKS044.60,9,0.9338461538461539,0.07,1.91,13,September,2-JKS044.60_9,-0.020833333333333336,0.05528862499999999,0.09423828125000008,42.93750000000001
2-JKS044.60,10,0.423,0.1,0.9,11,October,2-JKS044.60_10,-0.005999999999999998,0.010389431818181815,0.03296938124422011,12.425249999999991
2-JKS046.40,5,8.51533333333333,7,10.4,17,May,2-JKS046.40_5,0.008202614379085536,0.031335205693816814,0.08325195312500001,-7.738039215687487
2-JKS046.40,6,5.84090909090909,0.4,7.8,14,June,2-JKS046.40_6,-0.07987500000000003,0.021312374999999998,0.05371093749999999,166.857375
2-JKS046.40,7,3.2099999999999995,0.9,6.3,16,July,2-JKS046.40_7,0.0502403846153846,0.077307,0.35754394531250006,-98.13793269230764
2-JKS046.40,8,1.2815384615384615,0.12,3.3,15,August,2-JKS046.40_8,-0.03462171052631579,0.05244011594075429,0.21630859375000014,70.92199013157895
2-JKS046.40,9,0.5307692307692308,0.1,1.5,13,September,2-JKS046.40_9,-3.333333333333261e-4,0.013039276923076914,0.9460449218750002,1.481333333333252
2-JKS046.40,10,1.3142857142857143,0.2,5.26,15,October,2-JKS046.40_10,-0.022307692307692306,0.028141522051282043,0.29577636718750006,45.472307692307695
2-JKS048.90,5,7.5407692307692304,3.84,9.6,15,May,2-JKS048.90_5,0.01958333333333335,0.07021758333333337,1,-31.54916666666663
