Year,MonthNum,Mean_TMax,Mean_TMaxAnom,Nobs,Month
1968,7,26.67,-2.6405882352941177,1,July
1968,8,32.22,3.3006451612903227,1,August
1968,9,24.44,-2.1031818181818167,1,September
1968,10,12.22,-7.729473684210527,1,October
1969,7,31.67,2.3594117647058823,1,July
1969,10,22.78,2.8305263157894736,1,October
1970,5,23.33,1.3945454545454545,1,May
1970,7,30.835,1.5244117647058797,2,July
1970,8,26.67,-2.2493548387096745,1,August
1970,9,26.67,0.12681818181818372,1,September
1971,5,23.33,1.3945454545454545,1,May
1971,6,31.11,4.370833333333334,1,June
1971,7,26.668,-0.9583943355119825,10,July
1971,8,27.001,-0.33081890330738695,10,August
1971,9,25.28,1.017427886710239,4,September
1971,10,19.113999999999997,0.5237191129523889,5,October
1972,5,21.234444444444446,0.5837929049979138,9,May
1972,6,23.888181818181817,-0.8970451957847891,11,June
1972,7,27.000666666666667,-0.5474506172839507,15,July
1972,8,25.897222222222222,-1.0165878899298195,18,August
1972,9,24.389,-0.0953341744695095,10,September
1972,10,19.166666666666668,0.34985364675857095,6,October
1973,5,18.89,-1.5760817817188777,9,May
1973,6,25.877894736842105,1.0377039284862701,19,June
1973,7,27.816666666666666,0.44199128540305094,15,July
1973,8,26.729444444444443,-0.145884714135871,18,August
1973,9,25.493333333333332,1.1475299296017805,9,September
1973,10,17.08375,-1.5201967910417917,8,October
1974,5,20.925,-0.2243615998696645,6,May
1974,6,23.8325,-0.9248151965094731,20,June
1974,7,26.272173913043478,-1.2985728663446054,23,July
1974,8,25.88083333333333,-1.1288704046268518,24,August
1974,9,21.887,-1.8854250835604194,10,September
1974,10,16.166666666666668,-2.882402433541036,12,October
1975,5,21.364545454545453,0.7436067473582135,11,May
1975,6,23.4995,-1.34231992755741,20,June
1975,7,26.280434782608694,-1.1712459742351047,23,July
1975,8,27.085416666666667,0.07571292870648201,24,August
1975,9,24.277,-0.27718265931799413,10,September
1975,10,17.9175,-0.6543040551698529,8,October
1976,5,19.97,-1.1441896436896428,4,May
1976,6,22.915833333333335,-1.9146240768013716,12,June
1976,8,24.112000000000002,-2.551705965232954,5,August
1976,9,21.776,-2.3115601532567056,5,September
1976,10,16.67,-2.2231254225828243,4,October
1977,6,14.48,-10.560627090301002,5,June
1977,7,27.775,0.036235119047619335,4,July
1978,5,22.25,0.15293939393939482,2,May
1978,6,30.5,3.552604166666667,2,June
1978,8,27,-1.8486774193548374,2,August
1978,9,22.666666666666668,-1.0088965517241384,3,September
1979,7,26.6,-1.434889705882353,5,July
1979,8,25,-1.7645327635327632,3,August
1979,9,22.75,-0.4695742670108798,4,September
1979,10,16.25,-1.8210911696757082,4,October
1980,5,21,0.676106788372917,4,May
1980,6,24.25,-0.2547380952380953,4,June
1980,7,27.2,0.3324999999999996,1,July
1980,10,18.766666666666666,0.7986600496277916,3,October
1981,5,20.175,-0.14889321162708313,4,May
1981,6,26.025,1.520261904761905,4,June
1981,7,29,1.7424908088235291,4,July
1981,8,27.15,0.04998031677642345,6,August
1981,9,21.325,-1.8945742670108796,4,September
1981,10,16.025,-2.046091169675708,4,October
1982,5,24.525,4.201106788372917,4,May
1982,6,23.525,-0.979738095238095,4,June
1982,7,27.125,-0.13250919117647086,4,July
1982,8,26.9,0.24127255849796825,4,August
1982,9,23.325,0.10542573298912039,4,September
1982,10,17.775,-0.2960911696757078,4,October
1983,5,17.272727272727273,-3.2377255474513538,11,May
1983,6,24.32,-0.7538782333906727,25,June
1983,7,26.7625,-0.28670598447712425,8,July
1983,8,27.378260869565217,0.733580049631436,23,August
1983,9,25.3125,0.5941092340159275,8,September
1983,10,19.855555555555554,0.9089719105557482,18,October
1984,5,15.563636363636364,-4.985800456809578,22,May
1984,6,25.775862068965516,0.6505589942034431,29,June
1984,7,27,-0.25750919117647086,4,July
1984,8,25.638461538461538,-1.1604249619227738,26,August
1984,9,23.55,0.33042573298912004,4,September
