FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept
2-JKS044.60,5,6.946470588235294,4.9,12.1,17,May,2-JKS044.60_5,0.04500000000000011,0.049111124999999756,0.08865356445312501,-83.21499999999996
2-JKS044.60,6,7.075,5,8.86,14,June,2-JKS044.60_6,0.04034090909090908,0.04694899999999999,0.0069051238158049765,-74.08181818181819
2-JKS044.60,7,8.53,6.4,11.38,16,July,2-JKS044.60_7,0.007500000000000062,0.06572859999999986,0.49542236328125006,-4.807500000000118
2-JKS044.60,8,9.388571428571428,7.1,12.43,14,August,2-JKS044.60_8,0.0850000000000001,0.04675892307692308,0.006292761002545236,-161.23357142857162
2-JKS044.60,9,11.323076923076924,8.6,14.7,13,September,2-JKS044.60_9,-0.04253947368421057,0.17327562368421068,0.9999999999999998,97.12371052631579
2-JKS044.60,10,11.633636363636363,7.8,14,11,October,2-JKS044.60_10,0.0037142857142857715,0.11096762647058826,0.8984374999999999,4.17514285714266
2-JKS046.40,5,7.143529411764706,5.1,13.3,17,May,2-JKS046.40_5,0.007600000000000016,0.07550257900452494,0.5790557861328126,-8.07720000000003
2-JKS046.40,6,7.474285714285714,5.3,9.3,14,June,2-JKS046.40_6,0.06651515151515149,0.04119509999999998,0.0031651969166425343,-126.3636363636363
2-JKS046.40,7,8.93875,6.5,12.23,16,July,2-JKS046.40_7,0.080238095238095275,0.05495033333333331,0.050011746602489,-152.27547619047627
2-JKS046.40,8,10.128,7,14.7,15,August,2-JKS046.40_8,0.07666330645161293,0.04824389903846157,0.04791259765625001,-144.1498991935484
2-JKS046.40,9,11.983846153846153,9.3,15.2,13,September,2-JKS046.40_9,0.046666666666666724,0.16802799999999962,0.5417480468750002,-81.25333333333367
2-JKS046.40,10,13.047333333333333,8.1,17.27,15,October,2-JKS046.40_10,-0.011911764705882351,0.08925939542483648,0.8039550781250001,36.330294117647014
