FDT_STA_ID,MonthNum,Mean,Min,Max,Nobs,Month,key,model_slope,model_MAD,model_pval,model_intercept
2-JKS044.60,8,9.388571428571428,7.1,12.43,14,August,2-JKS044.60_8,0.0850000000000001,0.04675892307692308,0.006292761002545236,7.249523809523809
2-JKS046.40,8,10.128,7,14.7,15,August,2-JKS046.40_8,0.07666330645161293,0.04824389903846157,0.04791259765625001,8.14701406120761
2-JKS048.90,8,11.22,8,16,17,August,2-JKS048.90_8,0.10080645161290323,0.05426947983870969,3.814697265625001e-4,8.474509803921567
4ABSA000.62,8,16.734615384615385,12.35,19.31,26,August,4ABSA000.62_8,0.02794117647058811,0.06712191176470586,0.18398940347528847,16.53557692307693
4ABWR002.50,8,15.549615384615384,10.2,18.66,26,August,4ABWR002.50_8,0.12290640394088675,0.06380461769115435,2.811707961243163e-4,13.07503448275862
4ABWR010.55,8,15.758076923076924,7.22,18.6,26,August,4ABWR010.55_8,0,0.07413000000000004,0.9886020368185288,16.690350877192976
4ABWR017.42,8,20.1925,16.6,24.06,24,August,4ABWR017.42_8,-0.004882352941176314,0.08298009820971844,0.6372831874683713,20.360470588235295
4ACCK001.80,8,16.57217391304348,12.53,19.3,23,August,4ACCK001.80_8,0.02214646464646468,0.06770446401515154,0.2226152420043945,15.900000000000002
4ACOA000.60,8,16.872083333333332,13.4,19.43,24,August,4ACOA000.60_8,0.005250000000000021,0.06342233333333355,0.8551901414707871,16.986538461538444
4AGIL002.39,8,17.888148148148147,13.8,19.9,27,August,4AGIL002.39_8,-0.01857142857142851,0.06011861538461539,0.14815247058868405,19.218571428571426
4AROA018.36,8,19.383636363636363,16.97,21.35,11,August,4AROA018.36_8,0.014007352941176401,0.10438818783422453,0.24023437499999997,18.329779411764708
4AROA038.49,8,26.80785714285714,24.09,30.43,14,August,4AROA038.49_8,0.08502380952380945,0.04441445999999995,2.441406250000001e-4,24.025952380952383
4AROA140.66,8,19.29529411764706,14,22.01,17,August,4AROA140.66_8,0.08499999999999949,0.042954526315788694,4.5776367187500014e-5,16.300000000000008
4AROA145.34,8,20.181176470588234,11.6,23.37,17,August,4AROA145.34_8,0.07104395604395586,0.03527394698544712,2.1362304687500005e-4,18.397637362637376
4AROA158.22,8,14.859565217391305,9,18.69,23,August,4AROA158.22_8,0.12666666666666676,0.11209073749999991,0.008262157440185545,12.317543859649128
4AROA163.76,8,14.983333333333333,9,18.61,27,August,4AROA163.76_8,0.10416666666666652,0.05784386363636337,1.253187656402587e-4,12.790740740740741
4AROA167.34,8,15.695,12.3,18.38,24,August,4AROA167.34_8,0.10416666666666663,0.06005278787878785,0.0028277594176846226,13.04975
4AROA175.63,8,15.404545454545454,11,17.85,33,August,4AROA175.63_8,0.052931034482758654,0.05524356366047749,0.0025540732312947572,14.455789473684206
4AROA180.21,8,15.87483870967742,12.8,17.96,31,August,4AROA180.21_8,0.027083333333333348,0.046331249999999935,0.1353103909641504,15.253921568627447
4AROA183.64,8,16.4771875,13.5,18.12,32,August,4AROA183.64_8,0.04033333333333324,0.03205240000000023,0.010696486477951937,15.742857142857154
4AROA192.94,8,24.95642857142857,20.35,27.7,28,August,4AROA192.94_8,0.012321428571428546,0.07528244117647061,0.758512942915065,24.4515625
4ASRE046.90,8,8.05,3.9,16.11,17,August,4ASRE046.90_8,0.1463235294117647,0.08982811764705881,3.051757812500001e-5,2.973529411764706
4ASRE048.98,8,7.723846153846154,4,12.79,13,August,4ASRE048.98_8,0.07312500000000002,0.12809487499999994,0.01708984375000001,4.59875
4ASRE052.31,8,8.050714285714285,5,12.03,14,August,4ASRE052.31_8,-0.06070512820512819,0.04941999999999986,0.8016843787266217,9.16403846153846
4ASRE056.06,8,15.0175,9.64,20.15,16,August,4ASRE056.06_8,0.12153846153846154,0.27675199999999983,0.01859582059976199,10.784615384615385
4AWTH000.40,8,16.5764,5.2,19.6,25,August,4AWTH000.40_8,0.050916666666666666,0.07351225000000003,0.20993918180465695,15.567647058823521
8-NAR047.69,8,28.02,26.48,29.44,18,August,8-NAR047.69_8,-0.01666666666666651,0.06770539999999982,0.6631594882832027,28.73000000000001
8-NAR054.17,8,28.00769230769231,26.36,29.94,13,August,8-NAR054.17_8,9.999999999997997e-4,0.07920678181818176,0.6354980468750002,28.80999999999999
9-NEW087.14,8,9.495357142857143,7.9,14.57,28,August,9-NEW087.14_8,0.015793650793650846,0.04818450000000006,0.1494141318292887,8.292857142857144
9-NEW089.34,8,11.518888888888888,8.9,16.2,27,August,9-NEW089.34_8,0.021136363636363783,0.06677219083072124,0.34832760691642756,9.844090909090907
9-NEW092.66,8,11.375555555555556,8.9,18.1,27,August,9-NEW092.66_8,0.03322222222222224,0.08863682916666679,0.0796946681137101,8.836222222222226
9-NEW098.32,8,24.259545454545453,21.2,26.34,22,August,9-NEW098.32_8,0.05555555555555551,0.0714530833333334,0.02507291613137195,22.215000000000003
9-PKC000.00,8,16.699615384615385,11,24.2,26,August,9-PKC000.00_8,0.012333333333333397,0.12618646875000003,0.28180362857627694,15.563238095238097
9-PKC004.16,8,25.528235294117646,22.91,28.1,17,August,9-PKC004.16_8,-0.027922077922077904,0.01864802727272729,0.17425537109375003,26.71
