Year,StationID,TMin,TMean,TRange,DOMin,DOMean,DORange,TMax,DOMax
1999,2-JKS044.60,0.023053828765187894,0.02597893119525286,-0.02096814071771685,-0.04873375247244985,-0.03501185009889799,0.027620973438824525,0.002085688047471077,-0.021112779033625285
2001,2-JKS044.60,0.030226670591698555,0.03870709449514277,0.007608183691492553,-0.07762143067412415,-0.04561053871062696,0.06308801884015307,0.03783485428319112,-0.014533411833971104
2002,2-JKS044.60,0.02850091276801371,0.027526613451694843,0.019780219780219786,-0.06975981673050075,-0.04669053584851626,0.056507499015642323,0.0482811325482335,-0.01325231771485848
2004,2-JKS044.60,0.06099394861760338,0.05436962350980177,-0.06855817661340001,-0.062073776135087105,-0.05825223756205383,0.033423922890169225,-0.00756422799579662,-0.028649853244917933
2007,2-JKS044.60,0.0153152332361516,0.04449523202137998,0.029521987366375135,-0.05454628279883381,-0.03147947035957243,0.04329294217687074,0.04483722060252668,-0.01125334062196312
2009,2-JKS044.60,0.04541832669322706,0.03804057842703259,-0.019573557621366387,-0.07416998671978749,-0.05070001475579155,0.05720820422015633,0.025844769071860747,-0.016961782499631123
2013,2-JKS044.60,0.05352412173836001,0.055940481991760084,-0.047195764851814176,-0.062118460107207736,-0.050871062774110735,0.033560005316085585,0.006328356886545879,-0.02855845479112221
2014,2-JKS044.60,0.04550142656389728,0.05912391943107781,0.010129242430694593,-0.07874355917046373,-0.055819763232977104,0.056177873355193114,0.055630668994591875,-0.02256568581527063
2017,2-JKS044.60,0.04990940910026765,0.04283817171093266,-0.0363300391187976,-0.06576693432159766,-0.053199608812023784,0.04100576487543751,0.013579369981470026,-0.024761169446160147
2018,2-JKS044.60,0.03825736079890922,0.06057624276817624,0.004006706710395475,-0.07222574344990232,-0.0549821829973837,0.0570274901426097,0.04226406750930462,-0.015198253307292601
2021,2-JKS044.60,0.019798197043884143,0.05021786482405165,0.04210863497002703,-0.05853567015970349,-0.04653521255662845,0.046503912506292044,0.06190683201391112,-0.012031757653411431
2022,2-JKS044.60,0.02231278909863733,0.04708009334500145,0.022105679876651234,-0.06301120973455007,-0.04808930282952029,0.04028066008251033,0.04441846897528861,-0.022730549652039855
1999,2-JKS046.40,0.02693734105679571,0.03624427804464537,-0.023633088443063034,-0.059615534049166356,-0.038948202175755856,0.03335458462842611,0.003304252613732713,-0.026260949420740316
2001,2-JKS046.40,0.026137768619369974,0.03463982926111271,0.012948189579040363,-0.07918604651162786,-0.04678407418310271,0.055908154253753305,0.03908595819841034,-0.023277892257874532
2002,2-JKS046.40,0.036031248881411695,0.04557423846511791,0.012627698034864184,-0.06716254429609475,-0.03973953896266601,0.05352847478254643,0.04865894691627593,-0.013634069513548314
2004,2-JKS046.40,0.06129832952857194,0.048883991013515975,-0.06505598434612457,-0.051393267384135924,-0.05238719788382799,0.02146428959669529,-0.0037576548175526432,-0.029928977787440744
2007,2-JKS046.40,0.014732142857142848,0.046681183187560746,0.03261965500485909,-0.06705994897959185,-0.0409427083333333,0.046868926141885314,0.047351797862001936,-0.02019102283770649
2009,2-JKS046.40,0.04918843145934781,0.04559524863508927,-0.023122325512763775,-0.06662977718754612,-0.05049439279917369,0.04465840342334366,0.02606610594658405,-0.021971373764202416
2013,2-JKS046.40,0.059794887697691965,0.05751758738315692,-0.04943738094183322,-0.06918885394054848,-0.04579090063350011,0.04718690470916584,0.010357506755858755,-0.0220019492313827
2014,2-JKS046.40,0.05345718179108291,0.07017974705105819,0.0016335221223864327,-0.08081016054166847,-0.05527091938849379,0.056182983434825216,0.05509070391346928,-0.024627177106843267
2017,2-JKS046.40,0.05738418777022855,0.052388820259419364,-0.04511529750875023,-0.05775993411570924,-0.043321700638254065,0.034042618900555884,0.01226889026147833,-0.023717315215153443
2018,2-JKS046.40,0.045084570881084834,0.0628930795592733,-0.005558278365331416,-0.06733555662011273,-0.055323211850978264,0.047129564800825474,0.03952629251575341,-0.020205991819287315
2021,2-JKS046.40,0.02173340044845104,0.05458168214890407,0.038778886194115215,-0.0717553653960554,-0.04914469409234432,0.055134077701002177,0.060512286642566186,-0.016621287695053312
2022,2-JKS046.40,0.029563487102554506,0.05514635162728675,0.010246489144476355,-0.06355148560236695,-0.047162228611909815,0.038535441930241304,0.03980997624703093,-0.025016043672125676
1999,2-JKS048.90,0.06779280870302345,0.0457827069793727,-0.08076610624470189,-0.06167349533766595,-0.04368303192992364,0.029902514834699058,-0.012973297541678388,-0.031770980502966964
2001,2-JKS048.90,-0.06685651963160448,-0.004121182743577272,0.11609710777185331,-0.09184601712716106,-0.061021651316852485,0.08103894005493618,0.04924058814024888,-0.010807077072224914
2002,2-JKS048.90,0.027527095139850057,0.05219806220782956,0.03199707503068607,-0.06441670366404639,-0.02889869682170746,0.058491290381551764,0.059524170170536184,-0.005925413282494659
2004,2-JKS048.90,0.054134507373989935,0.028612566583324246,-0.05840308729209698,-0.05832699206435483,-0.030457314200818944,0.033548936478602805,-0.0042685799181070155,-0.024778055585752072
2007,2-JKS048.90,0.01822764820213802,0.04677904822643344,0.02577137998056366,-0.06646925953343584,-0.04184945807945638,0.05297724123531301,0.04399902818270168,-0.013492018298122764
2009,2-JKS048.90,0.0472185332743102,0.05455459642909844,-0.027526929319758028,-0.05933303821750035,-0.04290792386011509,0.04172937878117166,0.01969160395455215,-0.017603659436328804
2013,2-JKS048.90,0.06562264652460911,0.0525913702210606,-0.05792982767022551,-0.06265892880875384,-0.03469430292827712,0.04380676028884073,0.007692818854383548,-0.018852168519913143
2014,2-JKS048.90,0.06284056551547929,0.07734486649916958,-0.005381765532512867,-0.07839011199591192,-0.05515051313716312,0.05599518800834646,0.05745879998296641,-0.02239492398756546
2017,2-JKS048.90,0.062380070002058884,0.05434167181387686,-0.050635165740168804,-0.03141445336627548,-0.03290065884290712,0.01665328392011528,0.011744904261890059,-0.014761169446160195
2018,2-JKS048.90,0.05059181191730844,0.0655884769871393,-0.005189962044441137,-0.059488521207207865,-0.04351146036776355,0.04443195636953233,0.045401849872867314,-0.01505656483767555
2021,2-JKS048.90,0.03095776323616895,0.06246414679906655,0.02817805335651852,-0.05552120990253055,-0.04635617535349839,0.03774012721365487,0.059135816592687594,-0.017781082688875665
2022,2-JKS048.90,0.03889465349835398,0.058438242280285026,0.004824144684752226,-0.05608617743884653,-0.04569037796391216,0.03327332583239568,0.04371879818310627,-0.022812851606450798
1999,4ABSA000.62,0.07160019221528113,0.07909490629505055,0.025901009130225874,-0.05293128303700146,-0.03444810187409897,0.03870735223450265,0.097501201345507,-0.014223930802498657
2001,4ABSA000.62,0.07519162723280894,0.05685925310141958,-0.08066760455301179,-0.024775973057083133,-0.03806469284222185,0.007094470733682911,-0.005475977320202937,-0.017681502323400263
2002,4ABSA000.62,0.07400824207715823,0.06382968308632901,-0.03208837983206287,-0.05512130944549782,-0.04618446000851291,0.04268486630809117,0.041919862245095425,-0.01243644313740663
2004,4ABSA000.62,0.06757086540266569,0.05146527125962083,-0.07554908954383328,-0.07210437394405855,-0.06963731931668862,0.013103059883611745,-0.00797822414116765,-0.05900131406044648
2005,4ABSA000.62,0.08255491787057193,0.06700034632891351,-0.04562141302196713,-0.06410053433603799,-0.040804076786067636,0.059746685137542076,0.03693350484860482,-0.004353849198496019
2006,4ABSA000.62,0.07261069114470833,0.048420221382289366,-0.09311555075593943,-0.08044006479481629,-0.058174811015118705,0.04991900647948162,-0.020504859611231066,-0.030521058315334856
2007,4ABSA000.62,0.08676980588208799,0.07687400351303873,-0.05423816601360173,-0.04290411205692924,-0.029575372697383254,0.030790884114759266,0.032531639868486235,-0.012113227942170023
2008,4ABSA000.62,0.08921497584541069,0.07308913043478268,-0.0429830917874396,-0.04524154589371983,-0.03803345410628023,0.03987922705314009,0.04623188405797103,-0.005362318840579716
2009,4ABSA000.62,0.07673436138370023,0.055480373583904834,-0.06001591331034746,-0.0636172469973099,-0.049123839654453834,0.05009093320198536,0.016718448073352737,-0.013526313795324494
2010,4ABSA000.62,0.094323676488820965,0.07452128363020213,-0.07307104186469401,-0.04613795098565934,-0.043638984171591545,0.029697896433442162,0.021252634624126965,-0.016440054552217205
2011,4ABSA000.62,0.062429961663226195,0.04146151577705692,-0.11229725744618106,-0.017281038041875557,-0.038212179298142086,-7.814803892656773e-4,-0.04986729578295494,-0.018062518431141233
