Year,StationID,TMin,TMean,TRange,DOMin,DOMean,DORange,TMax,DOMax
2001,2-JKS044.60,0.016605928746260556,0.05351944519989119,0.10866603209137882,-0.07375033995104621,-0.03924367691052501,0.07897470764209953,0.1252719608376393,0.005224367691052478
2004,2-JKS044.60,0.00911837765199326,0.04545233538298649,0.06094189029604598,-0.07701755100378706,-0.054091888259966574,0.06443783849818785,0.07006026794803924,-0.012579712505599291
2007,2-JKS044.60,0.014707259170093955,0.05332796669675995,0.10653525930384193,-0.052293777376533915,-0.030497141137526353,0.04855719396796737,0.12124251847393588,-0.0037365834085665486
2009,2-JKS044.60,0.0538201121252336,0.07061993879153915,0.0636459659290957,-0.05957804078758497,-0.047131462773880854,0.04425155052406355,0.1174660780543293,-0.015326490263521477
2013,2-JKS044.60,0.04218939032884849,0.08088919235986362,0.07740037394141586,-0.06562305238845917,-0.04843173736114679,0.04814862338233679,0.11958976427026437,-0.01747442900612235
2014,2-JKS044.60,0.03241631412494352,0.06757760709738365,0.07558693062800345,-0.07390130200846101,-0.049894668747689705,0.06004579619665667,0.10800324475294697,-0.01385550581180438
2017,2-JKS044.60,0.048146527688414174,0.06692755115171792,0.04171256380560201,-0.06966327799939948,-0.05255563419551325,0.06380924805902286,0.08985909149401627,-0.0058540299403766274
2018,2-JKS044.60,0.03778914790595518,0.08453589078021265,0.09446862676583637,-0.07458144062297206,-0.04471838965706527,0.08820221634303396,0.13225777467179162,0.01362077572006187
2021,2-JKS044.60,0.015005134302545532,0.06000626925363454,0.1027938712641193,-0.05160919850834999,-0.04195398043560506,0.050119710317245825,0.11779900556666488,-0.0014894881911041286
2022,2-JKS044.60,0.015841272115178,0.05744762194685196,0.10386147124131509,-0.06611936824009684,-0.04375438722154573,0.056679858176348435,0.11970274335649314,-0.009439510063749034
2001,2-JKS046.40,0.014759314658689151,0.05670097905901551,0.10552216480826762,-0.07643051400598316,-0.04524789230350755,0.07637748164264346,0.12028147946695682,-5.303236333969959e-5
2004,2-JKS046.40,0.06427922791871969,0.07460384004560816,0.007394632894897628,-0.07465875310502083,-0.049782465284847484,0.06094148308018076,0.07167386081361735,-0.013717270024840168
2007,2-JKS046.40,0.007035142274383921,0.05427470157488212,0.11711472230581467,-0.06972113552011235,-0.043943324305346095,0.04586050088608018,0.12414986458019858,-0.02386063463403217
2009,2-JKS046.40,0.05150719063998051,0.06813985862470547,0.06039325081927253,-0.0817322536088617,-0.04703420632126321,0.06570972022858382,0.11190044145925304,-0.016022533380277926
2013,2-JKS046.40,0.04522308171719765,0.08804540455328669,0.07154195842651317,-0.07578546027788982,-0.05146504380980313,0.05408769292810795,0.11676504014371086,-0.021697767349781943
2014,2-JKS046.40,0.039580851850330626,0.08253957366410644,0.06739639380621842,-0.07848092167412823,-0.05021809668542271,0.057495173943401645,0.10697724565654908,-0.020985747730726558
2017,2-JKS046.40,0.054236906447046734,0.07788926779050316,0.0371331445974349,-0.07515592158881314,-0.0508422553939862,0.06302342040921376,0.09137005104448165,-0.012132501179599353
2018,2-JKS046.40,0.04065292267758202,0.08064980282533817,0.09138746068986177,-0.062481156092447435,-0.052878750062397055,0.06724978785004744,0.13204038336744378,0.004768631757599941
2021,2-JKS046.40,0.023097065340755573,0.07332570393990166,0.10527617143165975,-0.07684105280224823,-0.045482894665729995,0.0636526509214722,0.12837323677241533,-0.013188401880776112
2022,2-JKS046.40,0.024899899720650386,0.07091349115392882,0.09511173984671585,-0.06507126996633482,-0.04427616216603339,0.052077036028937776,0.1200116395673663,-0.012994233937397057
2001,2-JKS048.90,0.0026508414283760093,0.06133191955123823,0.11192023532631001,-0.08774592967574224,-0.05772089205089616,0.08397865645095089,0.11457107675468604,-0.0037672732247913277
2004,2-JKS048.90,0.06698884228529543,0.07239267825874496,0.005104247261473311,-0.08340228855316201,-0.05183096469438449,0.0705548316162398,0.07209308954676875,-0.01284745693692226
2007,2-JKS048.90,0.06634901528070353,0.10476092553582773,0.061850068545825414,-0.06657360878466405,-0.04462441838823756,0.05316396798808852,0.12819908382652892,-0.013409640796575544
2009,2-JKS048.90,0.052926360263250566,0.07878549955312411,0.05581344961135332,-0.08391246648430518,-0.05972689109768989,0.060463667632640876,0.10873980987460388,-0.023448798851664305
2013,2-JKS048.90,0.05543498185284309,0.0931708399017487,0.06497598709535508,-0.08398284268797888,-0.05962387725922943,0.05575576493016096,0.12041096894819812,-0.028227077757817923
2014,2-JKS048.90,0.05654926685012525,0.0922282622088964,0.05111759148971126,-0.09196184334825644,-0.06221322955600231,0.07090750400460016,0.1076668583398365,-0.02105433934365629
2017,2-JKS048.90,0.05513275854673358,0.08130431518895037,0.039792604984343505,-0.07591815725131902,-0.05916070432805733,0.06689465105306054,0.09492536353107708,-0.009023506198258478
2018,2-JKS048.90,0.04656466829730946,0.08561396196276146,0.0939659561723157,-0.0942035641192033,-0.0645679878200962,0.09181999700494177,0.14053062446962514,-0.002383567114261517
2021,2-JKS048.90,0.020709074204183105,0.07242076960492894,0.09762092633626983,-0.07726017402583368,-0.0645964438199212,0.05136815651515973,0.11833000054045296,-0.025892017510673937
2022,2-JKS048.90,0.0341429697013108,0.08355053362939625,0.0835155074851372,-0.07305153642289237,-0.05258169185588435,0.05288661270682613,0.11765847718644802,-0.020164923716066173
2001,4ABSA000.62,0.07875755378293448,0.0744393280154701,0.020599468213681433,-0.055344452501812885,-0.04114031907179107,0.0503710418177423,0.09935702199661589,-0.0049734106840705885
2002,4ABSA000.62,0.07441033745881934,0.07325507523818009,0.011135028047368918,-0.07351348944884693,-0.04912654705725218,0.066327798058944,0.08554536550618821,-0.007185691389902977
2003,4ABSA000.62,0.09742207981357416,0.09531066122924561,-0.001587532770171873,-0.07025924847072525,-0.06534066414214974,0.039848528983396456,0.09583454704340234,-0.03041071948732956
2004,4ABSA000.62,0.07439444504252343,0.05941405605196112,-0.015191803925790344,-0.05760577026590592,-0.039548928840564185,0.043454623748519765,0.059202641116733026,-0.014151146517386158
2005,4ABSA000.62,0.08666590493601461,0.09055324497257768,0.03451782449725779,-0.04761197440585007,-0.02420029707495431,0.06660191956124306,0.12118372943327231,0.01898994515539303
2006,4ABSA000.62,0.07642120412568965,0.07584804509474695,0.01094986807387865,-0.059966418805468956,-0.046390861117774004,0.04459102902374673,0.08737107219956824,-0.015375389781722237
2007,4ABSA000.62,0.07970496095759107,0.07981388226492732,0.00915275634731381,-0.05533735446766726,-0.03516491326506693,0.05231916584841257,0.08885771730490485,-0.0030181886192547787
2008,4ABSA000.62,0.09080674998871995,0.08571596805486624,-0.004985787122681931,-0.04994134368090963,-0.04296755854351848,0.039861480846455806,0.08582096286603798,-0.010079862834453819
2010,4ABSA000.62,0.1066198555077523,0.09503738128094812,-0.024452065914441073,-0.05627688935790242,-0.04772195389236149,0.03247828557512786,0.08216778959331114,-0.023798603782774555
2011,4ABSA000.62,0.0810126582278481,0.08089240506329118,0.019981916817359856,-0.05840867992766721,-0.04916546112115736,0.04113924050632907,0.10099457504520798,-0.01726943942133817
2012,4ABSA000.62,0.07171279173574797,0.06968029162946902,0.014315776048973352,-0.057932661650299706,-0.04328004506227939,0.05023381371423707,0.08602856778472134,-0.007698847936062562
2013,4ABSA000.62,0.06272401433691754,0.08694623655913974,0.0669205495818399,-0.09036738351254475,-0.06443832138590207,0.07175925925925922,0.12964456391875742,-0.018608124253285556
2014,4ABSA000.62,0.05165225289262725,0.06643168266003237,0.04689847174505391,-0.06779410022509179,-0.05078399083836791,0.04773052166015084,0.09855072463768115,-0.020063578564940975
2015,4ABSA000.62,0.06506621719239106,0.07588851432699253,0.039227064772453676,-0.08236455574283646,-0.04775945099927763,0.07423910426197929,0.10429328196484464,-0.008125451480857195
2017,4ABSA000.62,0.07533313385198492,0.08049740674246958,0.04475164572112508,-0.061733492918412146,-0.05053929782565325,0.06282764811490127,0.12008477957310996,0.0010941551964891683
2018,4ABSA000.62,0.09168855161437016,0.0877661721236926,0.027212653478854033,-0.06992155525238745,-0.05730920304683956,0.061023760800363806,0.11890120509322431,-0.008897794452023646
2019,4ABSA000.62,0.07905481474645873,0.07691879296820926,0.013266276011627394,-0.06755179255294606,-0.05340891893138929,0.06421884372260415,0.09232109075808614,-0.0033329488303418947
2021,4ABSA000.62,0.08172667113089375,0.08256432426044824,0.0355861267577894,-0.0622582424075314,-0.04806930712569423,0.051060188285342895,0.11731279788868318,-0.011198054122188567
2022,4ABSA000.62,0.0998587531310882,0.10076596854995834,0.03251356804898412,-0.05811786807681609,-0.04384929028666861,0.04151683829668801,0.13237232118007242,-0.01660102978012802
2023,4ABSA000.62,0.10936109674081743,0.10936109674081743,0,-0.020647956544231738,-0.020647956544231738,0,0.10936109674081743,-0.020647956544231738
