StationID,model_slope,model_MAD,model_pval,variable
2-JKS044.60,9.89731727062228e-4,7.106451449493427e-4,0.002516496563841506,TMean
2-JKS046.40,0.001020858026950186,5.440025866685167e-4,0.002506841661528247,TMean
2-JKS048.90,9.229546387052171e-4,5.009305568089081e-4,0.002516496563841506,TMean
4ABSA000.62,5.891224252691819e-5,7.226346987210147e-4,0.7209827481720192,TMean
4ABWR002.50,-3.530524139557059e-4,4.1700295389103477e-4,0.0230415366220115,TMean
4ABWR010.55,-2.5742461126856844e-4,0.0011127655122769007,0.04249811172485351,TMean
4ABWR017.42,0.0011395881841938585,0.0014760523586419877,0.06464958190917967,TMean
4ACCK001.80,6.688986459003272e-4,8.640976984716303e-4,0.14241743087768552,TMean
4ACOA000.60,-3.592151098189953e-4,0.0010963439427178355,0.39851643705031076,TMean
4AGIL002.39,4.8228450056659244e-4,0.0011831568854205451,1,TMean
4AROA018.36,8.107951726767443e-4,0.0011078432574282056,0.14746093749999997,TMean
4AROA038.49,-8.312743946575443e-6,0.0017826576297232017,0.5771484374999999,TMean
4AROA140.66,2.901947370975111e-4,5.497876763201457e-4,0.15142822265625003,TMean
4AROA145.34,5.777251835991812e-4,5.072337048647509e-4,0.09460449218750001,TMean
4AROA158.22,-4.704452886775493e-5,7.918714724095664e-4,0.5009052753448485,TMean
4AROA163.76,1.553402868979895e-4,8.934001206739651e-4,0.846231698989868,TMean
4AROA167.34,4.6518590380436806e-4,8.622751729483672e-4,0.2344708442687988,TMean
4AROA175.63,3.3716142960703646e-5,4.8489265673455807e-4,0.7997725009918212,TMean
4AROA180.21,8.694711306275621e-5,4.480876127387751e-4,0.6786493957076812,TMean
4AROA183.64,-2.9833657577840504e-5,5.226668408693649e-4,0.8115357160568242,TMean
4AROA192.94,1.8172602715724455e-4,9.431908026707898e-4,0.6839864253997807,TMean
4ASRE046.90,0.0013411706055953872,0.0014261715435528273,2.4414062500000016e-4,TMean
4ASRE048.98,0.0018483055204295464,8.446423170676874e-4,0.0024414062500000017,TMean
4ASRE052.31,-2.824054543464662e-4,6.844193916338215e-4,0.3586391704612435,TMean
4ASRE056.06,-5.62137149036081e-4,6.882321508215039e-4,0.4548339843750002,TMean
4AWTH000.40,6.380589911907206e-4,7.920110741297494e-4,0.27258300781249994,TMean
8-NAR047.69,0.0015836288278709052,0.003338422916734713,0.40376281738281256,TMean
8-NAR054.17,-1.9195618827171277e-4,0.005204670866362753,0.9000613080475436,TMean
9-NEW087.14,5.910224582056712e-4,0.0013746688518299775,0.04152512550354003,TMean
9-NEW089.34,3.9201565741450934e-4,9.146427204112617e-4,0.15107226371765134,TMean
9-NEW092.66,6.18684993100363e-4,5.828986205696075e-4,0.002135992050170898,TMean
9-NEW098.32,-8.239440495779307e-4,0.0010319988787237094,0.01355469226837158,TMean
9-PKC000.00,4.017620531578291e-4,0.0010941358396230807,0.06981706619262694,TMean
9-PKC004.16,0.0012341000289279552,0.0014512238308689218,0.0054144859313964835,TMean
