StationID,model_slope,model_MAD,model_pval,variable
2-JKS044.60,8.19736927863158e-5,3.787400396848315e-4,0.9687003809366239,DOMin
2-JKS046.40,-5.173758849959936e-5,4.24155957105077e-4,0.25515751134134057,DOMin
2-JKS048.90,4.4235509672251874e-4,2.8562036909476234e-4,0.02525722352056348,DOMin
4ABSA000.62,3.195170125300368e-4,6.264588108571529e-4,0.0230415366220115,DOMin
4ABWR002.50,-7.103695760501128e-5,0.0010994486957979638,0.9482252929562537,DOMin
4ABWR010.55,0.0011126777012849395,0.0010578750055966644,0.04764342897317984,DOMin
4ABWR017.42,-0.0013839246216660033,0.0013985227930392143,5.102157592773436e-4,DOMin
4ACCK001.80,2.0476072783490637e-4,6.935598131592124e-4,0.21725608946058278,DOMin
4ACOA000.60,3.0796392063935416e-4,0.001066800421218439,0.0741432440504673,DOMin
4AGIL002.39,0.00027519506999543084,0.0013086033649548018,0.04080847328905545,DOMin
4AROA018.36,0.0016977363120544492,3.965307746829578e-4,9.765624999999999e-4,DOMin
4AROA038.49,3.7360346701294884e-4,7.03468720372682e-4,0.5771484374999999,DOMin
4AROA140.66,-2.0850847688027408e-4,4.7727779068903775e-4,0.8039550781250001,DOMin
4AROA145.34,5.080257433142987e-4,8.829817084082657e-4,0.055358886718750014,DOMin
4AROA158.22,6.631159735562206e-4,4.8376328907030167e-4,0.019395816867001824,DOMin
4AROA163.76,2.785750199991768e-4,7.751383132157125e-4,0.14400157976975062,DOMin
4AROA167.34,1.039682019225385e-4,0.001336288552719738,0.3985785962846693,DOMin
4AROA175.63,-2.5475779611380914e-4,7.736321612245287e-4,0.13413381576538083,DOMin
4AROA180.21,-1.3167509242987082e-4,9.000990639401558e-4,1,DOMin
4AROA183.64,-5.738523711116127e-4,6.102623685571536e-4,0.18396702680093052,DOMin
4AROA192.94,-4.34342148636196e-4,8.954687927728087e-4,0.004467042363687872,DOMin
4ASRE046.90,4.482357722508624e-4,1.73650619298764e-4,0.021484375000000014,DOMin
4ASRE048.98,-3.65849279438259e-4,3.684847092306886e-4,0.21630859375000014,DOMin
4ASRE052.31,-8.787945478941975e-4,0.0012270410718004164,0.10247043485974935,DOMin
4ASRE056.06,2.50049553494733e-4,0.0012108140456922741,0.1909179687500001,DOMin
4AWTH000.40,3.800217484693557e-4,6.924979198435366e-4,0.006385605956099614,DOMin
8-NAR047.69,0.002467835102857621,0.0029651256876028855,0.026672363281250003,DOMin
8-NAR054.17,0.002048812413543837,0.0023316733391032427,0.005729982990891385,DOMin
9-NEW087.14,1.2528936597186054e-4,7.853179667337329e-4,0.3145539760589599,DOMin
9-NEW089.34,7.627471865912904e-4,0.0014651385531280954,0.0802028179168701,DOMin
9-NEW092.66,4.4506554054587235e-4,0.0010823064317916663,0.2226152420043945,DOMin
9-NEW098.32,8.071732093149313e-4,7.815709563670695e-4,0.004175186157226562,DOMin
9-PKC000.00,-1.0628874524829359e-4,0.0018480482609853307,1,DOMin
9-PKC004.16,1.590408258138106e-4,8.133468493176922e-4,0.10454297065734862,DOMin
